Dataset,Rows,SpearmanRho,PValue,BigValley
nasa93dem.csv,93,-0.1925,0.06451803968342555,No
A2C_Acrobot.csv,223,-0.3947,9.906726293960603e-10,No
A2C_CartPole.csv,317,-0.3308,1.5706697219003959e-09,No
pom3d.csv,500,-0.3891,1.6217877112188769e-19,No
coc1000.csv,1000,-0.2365,3.540678518819704e-14,No
redis.csv,4400,-0.1525,1.2705635762952373e-06,No
home_data_for_ml_course.csv,1460,-0.112,0.0003858699392519823,No
LLVM.csv,1024,-0.5928,6.53287852157651e-96,Yes
deeparch.csv,4096,-0.0496,0.11713830245977884,No
dconvert.csv,6764,-0.4007,7.549120636552494e-40,No
BDBC.csv,2560,-0.4733,5.646423029356692e-57,No
storm.csv,1557,-0.4821,2.4876596016730017e-59,No
WA_Fn-UseC_-Telco-Customer-Churn.csv,7043,-0.7206,6.338306042961897e-161,Yes
HSQLDB.csv,864,-0.5073,1.0637256460662178e-57,Yes
PostgreSQL.csv,19008,-0.1122,0.00037624626322537455,No
SS-G.csv,196,-0.1865,0.008861916977000086,No
dataset600.csv,5160,-0.4501,4.926557332402952e-51,No
SS-A.csv,1343,-0.5304,1.2249887836946457e-73,Yes
dataset120.csv,5160,-0.3632,1.530884260051234e-32,No
wc+rs-3d-c4-obj1.csv,196,-0.6344,1.822843935171192e-23,Yes
xomo_osp.csv,10000,-0.45,5.2383864309927845e-51,No
wc+wc-3d-c4-obj1.csv,196,-0.6806,5.211320815005459e-28,Yes
SS-C.csv,1512,-0.531,7.793489642790052e-74,Yes
wc-6d-c1-obj1.csv,2880,-0.1842,4.394507488481146e-09,No
xomo_flight.csv,10000,-0.3749,1.0000504071274088e-34,No
SS-S.csv,3840,-0.2962,1.077251511946826e-21,No
SS-M.csv,864,-0.4632,3.705974407094634e-47,No
SS-Q.csv,2736,0.1247,7.680274777816975e-05,No
xomo_ground.csv,10000,-0.4476,1.9653043387680977e-50,No
Apache_AllMeasurements.csv,192,-0.4269,6.600735473609824e-10,No
wc+sol-3d-c4-obj1.csv,196,-0.6657,1.837881575838724e-26,Yes
SS-K.csv,2880,-0.3173,7.8874302904647565e-25,No
xomo_osp2.csv,10000,-0.4207,3.6025277760498836e-44,No
BankChurners.csv,10127,-0.3133,3.301126323104998e-24,No
rs-6d-c3_obj2.csv,3840,-0.2653,1.438988890438814e-17,No
SS-T.csv,5184,-0.3056,4.585659258225501e-23,No
SS-D.csv,196,-0.1596,0.025421185069751984,No
sol-6d-c2-obj1.csv,2866,0.0507,0.10935564155570301,No
SS-L.csv,1023,-0.5494,6.164816169559224e-80,Yes
SS-P.csv,1023,-0.5494,6.164816169559224e-80,Yes
