Family,Dataset,ZoneFractionPct,DistRatio
POM,nasa93dem.csv,7.53,0.81
POM,pom3d.csv,9.2,0.65
Other,coc1000.csv,2.8,0.76
Other,redis.csv,0.07,0.7
Tuning,deeparch.csv,16.63,0.7
Config,LLVM.csv,5.37,0.86
Other,dconvert.csv,27.45,0.78
Other,BDBC.csv,60.0,0.63
Other,WA_Fn-UseC_-Telco-Customer-Churn.csv,19.3,1.14
Other,HSQLDB.csv,67.01,0.67
Other,storm.csv,55.23,0.6
Other,dataset120.csv,13.16,0.95
Config,SS-G.csv,3.57,0.85
Other,dataset600.csv,15.5,0.96
Config,SS-A.csv,14.45,0.85
Other,wc+rs-3d-c4-obj1.csv,23.98,0.33
Config,SS-C.csv,11.71,0.38
Other,wc-6d-c1-obj1.csv,22.33,0.34
Other,wc+wc-3d-c4-obj1.csv,22.45,0.32
Other,BankChurners.csv,0.05,1.05
Config,SS-S.csv,25.83,0.42
Config,SS-M.csv,24.65,0.68
Config,SS-Q.csv,12.57,0.77
POM,xomo_osp2.csv,2.13,0.77
Config,SS-K.csv,1.56,0.59
Other,Apache_AllMeasurements.csv,23.44,0.68
Other,wc+sol-3d-c4-obj1.csv,23.98,0.31
Other,rs-6d-c3_obj2.csv,87.58,0.26
POM,xomo_ground.csv,3.21,0.77
POM,xomo_osp.csv,6.68,0.78
POM,xomo_flight.csv,5.49,0.75
Config,SS-T.csv,36.34,0.45
Other,sol-6d-c2-obj1.csv,39.57,0.19
Config,SS-D.csv,4.59,0.66
Config,SS-P.csv,6.26,0.85
Config,SS-L.csv,6.26,0.86
Config,SS-J.csv,8.36,1.11
Other,HSMGP_num.csv,80.93,0.62
Config,SS-E.csv,3.44,0.89
Other,X264_AllMeasurements.csv,29.17,0.77
Config,SS-H.csv,1.54,1.6
Config,SS-O.csv,4.94,0.83
Config,SS-R.csv,12.03,0.89
Other,SQL_AllMeasurements.csv,0.52,1.5
Config,SS-V.csv,2.59,0.98
Config,SS-F.csv,5.1,1.67
Config,SS-I.csv,2.78,1.15
Config,SS-B.csv,1.46,7.39
Other,rs-6d-c3_obj1.csv,33.33,0.29
Other,auto93.csv,1.76,1.87
Config,SS-U.csv,23.65,0.74
Other,player_statistics_cleaned_final.csv,6.17,0.66
Other,Wine_quality.csv,1.44,0.5
Other,WA_Fn-UseC_-HR-Employee-Attrition.csv,0.41,1.09
Other,Life_Expectancy_Data.csv,2.59,1.1
Other,student_dropout.csv,15.41,0.69
Other,wallpaper.csv,0.81,1.03
Other,socks.csv,2.29,0.69
Other,Marketing_Analytics.csv,0.59,0.76
Other,Health-ClosedIssues0006.csv,15.23,0.5
Other,Health-ClosedIssues0004.csv,0.13,0.95
Other,Health-ClosedPRs0010.csv,0.02,0.87
Other,x264.csv,0.09,0.57
Other,Health-Commits0004.csv,0.02,1.41
Other,Health-ClosedIssues0009.csv,0.12,1.08
Other,Health-Commits0009.csv,35.1,0.74
Other,Health-ClosedPRs0007.csv,10.86,1.14
Other,7z.csv,59.43,0.47
Other,Health-ClosedIssues0001.csv,0.04,1.3
Other,Health-ClosedIssues0007.csv,0.56,1.34
Other,Health-Commits0000.csv,0.11,1.46
Other,Health-ClosedPRs0011.csv,33.02,1.12
Other,Health-Commits0006.csv,0.44,0.61
Other,all_players.csv,0.11,1.38
Other,Health-ClosedIssues0008.csv,1.06,0.97
Other,Health-Commits0003.csv,0.29,1.53
Other,Health-Commits0001.csv,31.99,1.25
Config,SS-N.csv,0.35,0.44
Other,exastencils.csv,24.53,0.31
Config,SS-W.csv,0.04,0.93
Other,Health-ClosedPRs0008.csv,0.13,0.83
Other,Health-ClosedIssues0003.csv,0.89,1.22
Other,Health-ClosedPRs0000.csv,66.65,0.98
Other,Health-ClosedPRs0006.csv,2.51,1.38
Other,Health-Commits0005.csv,3.33,0.74
Other,Health-ClosedIssues0011.csv,21.32,1.08
Other,Data_COVID19_Indonesia.csv,0.06,1.64
Other,Health-Commits0007.csv,3.17,0.97
Other,Health-ClosedIssues0002.csv,0.23,1.16
Config,SS-X.csv,0.03,1.04
Other,Health-ClosedPRs0004.csv,5.14,1.05
Other,Health-ClosedPRs0003.csv,33.02,1.25
Other,Health-Commits0010.csv,0.42,0.84
Other,Medical_Data_and_Hospital_Readmissions.csv,54.36,0.62
Other,Health-ClosedIssues0000.csv,0.06,0.92
Other,Health-Commits0008.csv,1.32,0.54
Other,Health-ClosedPRs0005.csv,30.32,1.22
Other,Health-Commits0011.csv,21.06,1.13
Other,Health-ClosedIssues0005.csv,0.02,1.57
Other,Health-ClosedPRs0002.csv,33.07,1.27
Scrum,Scrum1k.csv,2.5,0.91
POM,pom3a.csv,2.11,0.61
POM,pom3c.csv,0.08,0.92
POM,pom3b.csv,1.78,0.64
Other,billing10k.csv,3.52,0.86
Scrum,Scrum10k.csv,1.47,0.75
Feature,FFM-125-25-0.50-SAT-1.csv,1.26,0.96
Other,Loan.csv,0.24,0.83
Feature,FFM-250-50-0.50-SAT-1.csv,4.25,0.81
Other,javagc.csv,98.89,0.68
Feature,FM-500-100-0.25-SAT-1.csv,2.6,0.87
Feature,FFM-500-100-0.50-SAT-1.csv,1.44,0.88
Feature,FM-500-100-0.50-SAT-1.csv,0.78,1.03
Feature,FM-500-100-0.75-SAT-1.csv,0.8,1.14
Feature,FM-500-100-1.00-SAT-1.csv,2.24,0.86
Feature,FFM-1000-200-0.50-SAT-1.csv,3.95,0.8
Scrum,Scrum100k.csv,0.72,0.89
