run_id,best_config,best_value,runtime
0,"{'CLIENTNUM': 771359958, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 39, 'gender': 'M', 'Dependent_count': 4, 'education_Level': 'Unknown', 'marital_Status': 'Single', 'income_Category': '$120K+', 'card_Category': 'Silver', 'Months_on_book': 26, 'Total_Relationship_Count': 6, 'Months_Inactive_12_mon': 2, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 2517, 'Avg_Open_To_Buy+': 31999, 'Total_Amt_Chng_Q4_Q1': 0.887, 'Total_Trans_Amt': 1689, 'Total_Trans_Ct': 42}",0.3537958389597129,0.09655308723449707
1,"{'CLIENTNUM': 714465558, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 41, 'gender': 'M', 'Dependent_count': 4, 'education_Level': 'Unknown', 'marital_Status': 'Married', 'income_Category': '$120K+', 'card_Category': 'Silver', 'Months_on_book': 36, 'Total_Relationship_Count': 3, 'Months_Inactive_12_mon': 1, 'Contacts_Count_12_mon': 4, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 2205, 'Avg_Open_To_Buy+': 32311, 'Total_Amt_Chng_Q4_Q1': 0.897, 'Total_Trans_Amt': 15033, 'Total_Trans_Ct': 98}",0.38228766195072844,0.07548165321350098
2,"{'CLIENTNUM': 798983508, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 43, 'gender': 'M', 'Dependent_count': 1, 'education_Level': 'Graduate', 'marital_Status': 'Single', 'income_Category': '$80K-$120K', 'card_Category': 'Silver', 'Months_on_book': 37, 'Total_Relationship_Count': 4, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 1440, 'Avg_Open_To_Buy+': 33076, 'Total_Amt_Chng_Q4_Q1': 1.117, 'Total_Trans_Amt': 1575, 'Total_Trans_Ct': 34}",0.27838952738946354,0.08035659790039062
3,"{'CLIENTNUM': 720214833, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 52, 'gender': 'M', 'Dependent_count': 2, 'education_Level': 'HighSchool', 'marital_Status': 'Single', 'income_Category': '$80K-$120K', 'card_Category': 'Silver', 'Months_on_book': 40, 'Total_Relationship_Count': 3, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 3, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 2177, 'Avg_Open_To_Buy+': 32339, 'Total_Amt_Chng_Q4_Q1': 1.32, 'Total_Trans_Amt': 1234, 'Total_Trans_Ct': 23}",0.25855500047739993,0.0924232006072998
4,"{'CLIENTNUM': 771484908, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 31, 'gender': 'M', 'Dependent_count': 0, 'education_Level': 'Graduate', 'marital_Status': 'Divorced', 'income_Category': '$80K-$120K', 'card_Category': 'Silver', 'Months_on_book': 19, 'Total_Relationship_Count': 1, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 3, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 1984, 'Avg_Open_To_Buy+': 32532, 'Total_Amt_Chng_Q4_Q1': 0.757, 'Total_Trans_Amt': 14969, 'Total_Trans_Ct': 96}",0.405925910707707,0.07274913787841797
5,"{'CLIENTNUM': 713187033, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 46, 'gender': 'M', 'Dependent_count': 1, 'education_Level': 'Uneducated', 'marital_Status': 'Married', 'income_Category': '$60K-$80K', 'card_Category': 'Blue', 'Months_on_book': 36, 'Total_Relationship_Count': 3, 'Months_Inactive_12_mon': 2, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 20459, 'Total_Revolving_Bal+': 2071, 'Avg_Open_To_Buy+': 18388, 'Total_Amt_Chng_Q4_Q1': 1.248, 'Total_Trans_Amt': 1767, 'Total_Trans_Ct': 38}",0.3885444262172824,0.05404162406921387
6,"{'CLIENTNUM': 712206858, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 39, 'gender': 'M', 'Dependent_count': 3, 'education_Level': 'Graduate', 'marital_Status': 'Married', 'income_Category': '$120K+', 'card_Category': 'Blue', 'Months_on_book': 36, 'Total_Relationship_Count': 3, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 32964, 'Total_Revolving_Bal+': 2231, 'Avg_Open_To_Buy+': 30733, 'Total_Amt_Chng_Q4_Q1': 1.731, 'Total_Trans_Amt': 3094, 'Total_Trans_Ct': 45}",0.2902012598590226,0.08013439178466797
7,"{'CLIENTNUM': 788440083, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 55, 'gender': 'M', 'Dependent_count': 2, 'education_Level': 'Uneducated', 'marital_Status': 'Single', 'income_Category': '$60K-$80K', 'card_Category': 'Silver', 'Months_on_book': 48, 'Total_Relationship_Count': 5, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 3, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 1384, 'Avg_Open_To_Buy+': 33132, 'Total_Amt_Chng_Q4_Q1': 0.625, 'Total_Trans_Amt': 3807, 'Total_Trans_Ct': 82}",0.44527657943480614,0.053251028060913086
8,"{'CLIENTNUM': 711368283, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 39, 'gender': 'M', 'Dependent_count': 2, 'education_Level': 'Unknown', 'marital_Status': 'Married', 'income_Category': '$80K-$120K', 'card_Category': 'Blue', 'Months_on_book': 27, 'Total_Relationship_Count': 3, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 1629, 'Avg_Open_To_Buy+': 32887, 'Total_Amt_Chng_Q4_Q1': 1.078, 'Total_Trans_Amt': 3448, 'Total_Trans_Ct': 53}",0.40182116959793457,0.06092476844787598
9,"{'CLIENTNUM': 718888308, 'attrition_Flag': 'ExistingCustomer', 'Customer_Age': 53, 'gender': 'M', 'Dependent_count': 3, 'education_Level': 'Graduate', 'marital_Status': 'Single', 'income_Category': '$80K-$120K', 'card_Category': 'Blue', 'Months_on_book': 36, 'Total_Relationship_Count': 4, 'Months_Inactive_12_mon': 3, 'Contacts_Count_12_mon': 2, 'Credit_Limit+': 34516, 'Total_Revolving_Bal+': 2517, 'Avg_Open_To_Buy+': 31999, 'Total_Amt_Chng_Q4_Q1': 0.741, 'Total_Trans_Amt': 1475, 'Total_Trans_Ct': 33}",0.38956710096537445,0.05430197715759277
