run_id,best_config,best_value,runtime
0,"{'date': '8/19/21', 'location_ISO_Code': 'ID-KU', 'location': 'KalimantanUtara', 'New_Cases': 416, 'New_Deaths': 6, 'New_Recovered': 241, 'New_Active_Cases': 169, 'Total_Cases': 29292, 'Total_Deaths': 601, 'Total_Recovered': 21912, 'Total_Active_Cases': 6779, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'KalimantanUtara', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Kalimantan', 'time_Zone': 'UTC+08:00', 'special_Status': 'n/a', 'Total_Regencies': 4, 'Total_Cities': 1, 'Total_Districts': 53, 'Total_Urban_Villages': 35, 'Total_Rural_Villages': 447, 'Area_km2': 75468, 'Population': 648407, 'Population_Density': 8.59, 'Longitude': 116.2188791, 'Latitude': 2.891012621, 'New_Cases_per_Million+': 641.57, 'Total_Cases_per_Million': 45175.33, 'New_Deaths_per_Million': 9.25, 'Total_Deaths_per_Million+': 926.89, 'Total_Deaths_per_100rb+': 92.69, 'Case_Fatality_Rate': 0}",0.44269625486110126,0.21230173110961914
1,"{'date': '7/18/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 9129, 'New_Deaths': 158, 'New_Recovered': 11852, 'New_Active_Cases': -2881, 'Total_Cases': 746310, 'Total_Deaths': 10166, 'Total_Recovered': 627448, 'Total_Active_Cases': 108696, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 841.68, 'Total_Cases_per_Million': 68808.78, 'New_Deaths_per_Million': 14.57, 'Total_Deaths_per_Million+': 937.29, 'Total_Deaths_per_100rb+': 93.73, 'Case_Fatality_Rate': 0}",0.38459560472298954,0.3995528221130371
2,"{'date': '7/18/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 9129, 'New_Deaths': 158, 'New_Recovered': 11852, 'New_Active_Cases': -2881, 'Total_Cases': 746310, 'Total_Deaths': 10166, 'Total_Recovered': 627448, 'Total_Active_Cases': 108696, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 841.68, 'Total_Cases_per_Million': 68808.78, 'New_Deaths_per_Million': 14.57, 'Total_Deaths_per_Million+': 937.29, 'Total_Deaths_per_100rb+': 93.73, 'Case_Fatality_Rate': 0}",0.38459560472298954,0.36678409576416016
3,"{'date': '7/15/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 12691, 'New_Deaths': 141, 'New_Recovered': 3034, 'New_Active_Cases': 9516, 'Total_Cases': 714597, 'Total_Deaths': 9809, 'Total_Recovered': 595538, 'Total_Active_Cases': 109250, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 1170.09, 'Total_Cases_per_Million': 65884.88, 'New_Deaths_per_Million': 13, 'Total_Deaths_per_Million+': 904.38, 'Total_Deaths_per_100rb+': 90.44, 'Case_Fatality_Rate': 0}",0.3436817223517055,0.39986181259155273
4,"{'date': '8/11/21', 'location_ISO_Code': 'ID-KI', 'location': 'KalimantanTimur', 'New_Cases': 1843, 'New_Deaths': 64, 'New_Recovered': 1928, 'New_Active_Cases': -149, 'Total_Cases': 135669, 'Total_Deaths': 4188, 'Total_Recovered': 112499, 'Total_Active_Cases': 18982, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'KalimantanTimur', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Kalimantan', 'time_Zone': 'UTC+08:00', 'special_Status': 'n/a', 'Total_Regencies': 7, 'Total_Cities': 3, 'Total_Districts': 103, 'Total_Urban_Villages': 197, 'Total_Rural_Villages': 841, 'Area_km2': 129067, 'Population': 3552191, 'Population_Density': 27.52, 'Longitude': 116.4684405, 'Latitude': 0.45385803, 'New_Cases_per_Million+': 518.83, 'Total_Cases_per_Million': 38193.05, 'New_Deaths_per_Million': 18.02, 'Total_Deaths_per_Million+': 1178.99, 'Total_Deaths_per_100rb+': 117.9, 'Case_Fatality_Rate': 0}",0.4022923450306239,0.18216657638549805
5,"{'date': '8/11/21', 'location_ISO_Code': 'ID-KI', 'location': 'KalimantanTimur', 'New_Cases': 1843, 'New_Deaths': 64, 'New_Recovered': 1928, 'New_Active_Cases': -149, 'Total_Cases': 135669, 'Total_Deaths': 4188, 'Total_Recovered': 112499, 'Total_Active_Cases': 18982, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'KalimantanTimur', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Kalimantan', 'time_Zone': 'UTC+08:00', 'special_Status': 'n/a', 'Total_Regencies': 7, 'Total_Cities': 3, 'Total_Districts': 103, 'Total_Urban_Villages': 197, 'Total_Rural_Villages': 841, 'Area_km2': 129067, 'Population': 3552191, 'Population_Density': 27.52, 'Longitude': 116.4684405, 'Latitude': 0.45385803, 'New_Cases_per_Million+': 518.83, 'Total_Cases_per_Million': 38193.05, 'New_Deaths_per_Million': 18.02, 'Total_Deaths_per_Million+': 1178.99, 'Total_Deaths_per_100rb+': 117.9, 'Case_Fatality_Rate': 0}",0.4022923450306239,0.30433177947998047
6,"{'date': '7/17/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 10168, 'New_Deaths': 67, 'New_Recovered': 11610, 'New_Active_Cases': -1509, 'Total_Cases': 737181, 'Total_Deaths': 10008, 'Total_Recovered': 615596, 'Total_Active_Cases': 111577, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 937.48, 'Total_Cases_per_Million': 67967.1, 'New_Deaths_per_Million': 6.18, 'Total_Deaths_per_Million+': 922.72, 'Total_Deaths_per_100rb+': 92.27, 'Case_Fatality_Rate': 0}",0.3698533028845086,0.24471235275268555
7,"{'date': '7/9/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 13111, 'New_Deaths': 138, 'New_Recovered': 15029, 'New_Active_Cases': -2056, 'Total_Cases': 636379, 'Total_Deaths': 9270, 'Total_Recovered': 526946, 'Total_Active_Cases': 100163, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 1208.82, 'Total_Cases_per_Million': 58673.29, 'New_Deaths_per_Million': 12.72, 'Total_Deaths_per_Million+': 854.68, 'Total_Deaths_per_100rb+': 85.47, 'Case_Fatality_Rate': 0}",0.3664600005356595,0.324690580368042
8,"{'date': '7/9/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 13111, 'New_Deaths': 138, 'New_Recovered': 15029, 'New_Active_Cases': -2056, 'Total_Cases': 636379, 'Total_Deaths': 9270, 'Total_Recovered': 526946, 'Total_Active_Cases': 100163, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 1208.82, 'Total_Cases_per_Million': 58673.29, 'New_Deaths_per_Million': 12.72, 'Total_Deaths_per_Million+': 854.68, 'Total_Deaths_per_100rb+': 85.47, 'Case_Fatality_Rate': 0}",0.3664600005356595,0.22315311431884766
9,"{'date': '7/16/21', 'location_ISO_Code': 'ID-JK', 'location': 'DKIJakarta', 'New_Cases': 12416, 'New_Deaths': 132, 'New_Recovered': 8448, 'New_Active_Cases': 3836, 'Total_Cases': 727013, 'Total_Deaths': 9941, 'Total_Recovered': 603986, 'Total_Active_Cases': 113086, 'location_Level': 'Province', 'city_or_Regency': 'n/a', 'province': 'DKIJakarta', 'country': 'Indonesia', 'continent': 'Asia', 'island': 'Jawa', 'time_Zone': 'UTC+07:00', 'special_Status': 'DaerahKhususIbuKota', 'Total_Regencies': 1, 'Total_Cities': 5, 'Total_Districts': 44, 'Total_Urban_Villages': 267, 'Total_Rural_Villages': 4490.348298, 'Area_km2': 664, 'Population': 10846145, 'Population_Density': 16334.31, 'Longitude': 106.8361183, 'Latitude': -6.204698991, 'New_Cases_per_Million+': 1144.74, 'Total_Cases_per_Million': 67029.62, 'New_Deaths_per_Million': 12.17, 'Total_Deaths_per_Million+': 916.55, 'Total_Deaths_per_100rb+': 91.65, 'Case_Fatality_Rate': 0}",0.34000462658470826,0.19912266731262207
