run_id,best_config,best_value,runtime
0,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 70, 'criterion': 'absolute_error'}",0.0,0.023256778717041016
1,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 20, 'criterion': 'absolute_error'}",0.0,0.02668905258178711
2,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 20, 'criterion': 'absolute_error'}",0.0,0.020607709884643555
3,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 10, 'criterion': 'absolute_error'}",0.0,0.02622532844543457
4,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 50, 'criterion': 'absolute_error'}",0.0,0.028168201446533203
5,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 60, 'criterion': 'absolute_error'}",0.0,0.025325536727905273
6,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 120, 'criterion': 'absolute_error'}",0.0,0.019023418426513672
7,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 80, 'criterion': 'absolute_error'}",0.0,0.020938396453857422
8,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 130, 'criterion': 'absolute_error'}",0.0,0.034102678298950195
9,"{'MRE-': 0.0, 'ACC+': 1.0, 'PRED40+': 1.0, 'N_estimators': 30, 'criterion': 'absolute_error'}",0.0,0.0198519229888916
