run_id,best_config,best_value,runtime
0,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 1, 'Emit_freq': 1, 'Chunk_size': 1000000.0, 'Message_size': 10000}",0.0034050260161267378,0.04954719543457031
1,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 1, 'Emit_freq': 1, 'Chunk_size': 10000000.0, 'Message_size': 10000}",0.003567753365528895,0.03776693344116211
2,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 2, 'Emit_freq': 1, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.002875607959487928,0.04150652885437012
3,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 2, 'Emit_freq': 10, 'Chunk_size': 10000000.0, 'Message_size': 100000.0}",0.003047131538659799,0.029178857803344727
4,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 2, 'Emit_freq': 1, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.002875607959487928,0.0302884578704834
5,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 2, 'Emit_freq': 10, 'Chunk_size': 2000000.0, 'Message_size': 100000.0}",0.0031126955107711432,0.044692277908325195
6,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 1, 'Emit_freq': 60, 'Chunk_size': 1000000.0, 'Message_size': 10000}",0.02947051150246942,0.04595494270324707
7,"{'Spouts': 1, 'Max_spout': 10, 'Sorters': 2, 'Emit_freq': 1, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.002875607959487928,0.024376869201660156
8,"{'Spouts': 3, 'Max_spout': 10, 'Sorters': 1, 'Emit_freq': 1, 'Chunk_size': 10000000.0, 'Message_size': 1000}",0.017169731815078342,0.02269434928894043
9,"{'Spouts': 3, 'Max_spout': 10, 'Sorters': 18, 'Emit_freq': 120, 'Chunk_size': 10000000.0, 'Message_size': 1000}",0.03232759681713776,0.04598283767700195
