run_id,best_config,best_value,runtime
0,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 1, 'rc_lookahead': 1, 'rc_lookahead_20': 1, 'rc_lookahead_40': 0, 'rc_lookahead_60': 0, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2381287787707884,0.042191267013549805
1,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 0, 'rc_lookahead_60': 1, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2349424451549847,0.043550968170166016
2,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 1, 'no_deblock': 1, 'no_fast_pskip': 1, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 0, 'rc_lookahead_60': 1, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.23569124459552387,0.05806779861450195
3,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 1, 'no_weightb': 1, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 0, 'rc_lookahead_60': 1, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2372133918631593,0.04802107810974121
4,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 1, 'rc_lookahead_60': 0, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2397866652553307,0.06218099594116211
5,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 1, 'no_deblock': 0, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 1, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 1, 'rc_lookahead_60': 0, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2324134898335514,0.03961539268493652
6,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 0, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 1, 'rc_lookahead_60': 0, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2347896730960139,0.04127001762390137
7,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 1, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 0, 'rc_lookahead_60': 1, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.2362819240479974,0.036118268966674805
8,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 0, 'no_deblock': 1, 'no_fast_pskip': 0, 'no_mbtree': 0, 'no_mixed_refs': 1, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 1, 'rc_lookahead_40': 0, 'rc_lookahead_60': 0, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.23675713263951662,0.03720426559448242
9,"{'no_asm': 1, 'no_8x8dct': 1, 'no_cabac': 1, 'no_deblock': 1, 'no_fast_pskip': 1, 'no_mbtree': 0, 'no_mixed_refs': 0, 'no_weightb': 0, 'rc_lookahead': 1, 'rc_lookahead_20': 0, 'rc_lookahead_40': 0, 'rc_lookahead_60': 1, 'ref': 1, 'ref_1': 1, 'ref_5': 0, 'ref_9': 0, 'core': 1, 'core1': 0, 'core2': 1, 'core3': 0, 'core4': 0}",0.23569124459552387,0.0375521183013916
