run_id,best_config,best_value,runtime
0,"{'\ufeffname': 'militaryuniform', 'Buy-': 3360, 'Sell+': 840, 'color1': 'White', 'color2': 'Black', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Elegant', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLInfantry3'}",0.6521174945118067,0.04740643501281738
1,"{'\ufeffname': 'graduationgown', 'Buy-': 3360, 'Sell+': 840, 'color1': 'Black', 'color2': 'Blue', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Simple', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLAcademicdress2'}",0.6521174945118067,0.04880166053771973
2,"{'\ufeffname': 'DALpilotjacket', 'Buy-': 1348.395967, 'Sell+': 1010, 'color1': 'Green', 'color2': 'Green', 'size': 1, 'Miles_Price': 640, 'source': 'DodoAirlines', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Cool', 'type': 'Yes', 'villager_Equippable': 'Notforsale', 'catalog': 'TopsTexTopOuterLDal0'}",0.5413529850114921,0.06472611427307129
3,"{'\ufeffname': 'Labelleknitshirt', 'Buy-': 2270, 'Sell+': 567, 'color1': 'Blue', 'color2': 'Blue', 'size': 1, 'Miles_Price': 640, 'source': 'Labelle', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Cool', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopTshirtsHKate3'}",0.6446470371561167,0.05492353439331055
4,"{'\ufeffname': 'parkaundercoat', 'Buy-': 2320, 'Sell+': 580, 'color1': 'Yellow', 'color2': 'Black', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'Winter', 'mannequin_Piece': 'No', 'style': 'Cool', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLInparker5'}",0.6443356908943307,0.07176446914672852
5,"{'\ufeffname': ""detective'scoat"", 'Buy-': 2500, 'Sell+': 625, 'color1': 'Beige', 'color2': 'Beige', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Elegant', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLDetective2'}",0.64397458098252,0.03716540336608887
6,"{'\ufeffname': ""detective'scoat"", 'Buy-': 2500, 'Sell+': 625, 'color1': 'Gray', 'color2': 'Gray', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Elegant', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLDetective1'}",0.64397458098252,0.05110788345336914
7,"{'\ufeffname': 'DALpilotjacket', 'Buy-': 1348.395967, 'Sell+': 1010, 'color1': 'Green', 'color2': 'Green', 'size': 1, 'Miles_Price': 640, 'source': 'DodoAirlines', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Cool', 'type': 'Yes', 'villager_Equippable': 'Notforsale', 'catalog': 'TopsTexTopOuterLDal0'}",0.5413529850114921,0.08462667465209961
8,"{'\ufeffname': ""detective'scoat"", 'Buy-': 2500, 'Sell+': 625, 'color1': 'Gray', 'color2': 'Gray', 'size': 1, 'Miles_Price': 640, 'source': 'AbleSisters', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Elegant', 'type': 'Yes', 'villager_Equippable': 'Forsale', 'catalog': 'TopsTexTopCoatLDetective1'}",0.64397458098252,0.05013465881347656
9,"{'\ufeffname': 'DALpilotjacket', 'Buy-': 1348.395967, 'Sell+': 1010, 'color1': 'Green', 'color2': 'Green', 'size': 1, 'Miles_Price': 640, 'source': 'DodoAirlines', 'seasonal_Availability': 'AllYear', 'mannequin_Piece': 'No', 'style': 'Cool', 'type': 'Yes', 'villager_Equippable': 'Notforsale', 'catalog': 'TopsTexTopOuterLDal0'}",0.5413529850114921,0.04004073143005371
