run_id,best_config,best_value,runtime
0,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.15160012245178223
1,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.1376190185546875
2,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.12742924690246582
3,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.14626240730285645
4,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.1712815761566162
5,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.12563347816467285
6,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.16221022605895996
7,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.1334538459777832
8,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.11657023429870605
9,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Winrate': 0.333, 'KDA': 3.1, 'Avgkills': 2.0, 'Avgdeaths': 3.2, 'Avgassists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'KP+': 0.849, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'AvgWPM': 0.33, 'AvgWCPM': 0.47, 'AvgVWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FBVictim': 0.0, 'PentaKills': 0.0, 'SoloKills': 1.0, 'Country': 0.0}",0.0,0.14166879653930664
