run_id,best_config,best_value,runtime
0,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9665}",0.0,0.10432887077331543
1,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9669}",0.0,0.2087390422821045
2,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9665}",0.0,0.21424341201782227
3,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9667}",0.0,0.17332243919372559
4,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 5176}",0.0,0.18099641799926758
5,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9668}",0.0,0.1909933090209961
6,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9664}",0.0,0.07977843284606934
7,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9667}",0.0,0.19221186637878418
8,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9666}",0.0,0.19820833206176758
9,"{'Name': 0, 'Variation': 0, 'DIY': 0, 'Buy-': 350, 'Sell': 87, 'Color1': 0, 'Color2': 0, 'Size': 0, 'MilesPrice': 400, 'Source': 0, 'SourceNotes': 0, 'SeasonalAvailability': 0, 'MannequinPiece': 0, 'Version': 0, 'Style': 0, 'LabelThemes': 0, 'VillagerEquippable': 0, 'Catalog': 0, 'Filename': 0, 'InternalID': 9668}",0.0,0.18782734870910645
