run_id,best_config,best_value,runtime
0,"{'Topology.workers': 2, 'Component.bolt_num': 1, 'Topology.acker.executors': 2, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 0, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 1000, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 10000, 'topology.level': 5, 'topology.priority': 0}",0.0,0.02985978126525879
1,"{'Topology.workers': 2, 'Component.bolt_num': 1, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 10, 'Topology.transfer.buffer.size': 1024, 'Storm.messaging.netty.max_wait_ms': 100, 'topology.level': 5, 'topology.priority': 29}",0.0,0.03856635093688965
2,"{'Topology.workers': 2, 'Component.bolt_num': 1, 'Topology.acker.executors': 2, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 0, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 1000, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 10000, 'topology.level': 5, 'topology.priority': 0}",0.0,0.046799659729003906
3,"{'Topology.workers': 2, 'Component.bolt_num': 1, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 10, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 100, 'topology.level': 5, 'topology.priority': 0}",0.0,0.04629039764404297
4,"{'Topology.workers': 2, 'Component.bolt_num': 1, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 10, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 100, 'topology.level': 5, 'topology.priority': 0}",0.0,0.0320889949798584
5,"{'Topology.workers': 4, 'Component.bolt_num': 10, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 1000, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 10000, 'topology.level': 5, 'topology.priority': 29}",0.0,0.04130959510803223
6,"{'Topology.workers': 4, 'Component.bolt_num': 10, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 1, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 1000, 'Topology.transfer.buffer.size': 512, 'Storm.messaging.netty.max_wait_ms': 10000, 'topology.level': 5, 'topology.priority': 29}",0.0,0.03359818458557129
7,"{'Topology.workers': 4, 'Component.bolt_num': 1, 'Topology.acker.executors': 2, 'Message.size': 1000000, 'Component.spout_num': 10, 'topology.serialized.message.size.metrics': 0, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 10, 'Topology.transfer.buffer.size': 1024, 'Storm.messaging.netty.max_wait_ms': 100, 'topology.level': 5, 'topology.priority': 0}",2.72352293138e-06,0.029285907745361328
8,"{'Topology.workers': 4, 'Component.bolt_num': 1, 'Topology.acker.executors': 2, 'Message.size': 1000000, 'Component.spout_num': 10, 'topology.serialized.message.size.metrics': 0, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 1000, 'Topology.transfer.buffer.size': 1024, 'Storm.messaging.netty.max_wait_ms': 10000, 'topology.level': 5, 'topology.priority': 0}",0.0,0.04404926300048828
9,"{'Topology.workers': 4, 'Component.bolt_num': 1, 'Topology.acker.executors': 4, 'Message.size': 1000000, 'Component.spout_num': 10, 'topology.serialized.message.size.metrics': 1, 'Topology.max.spout.pending': 1, 'Storm.messaging.netty.min_wait_ms': 10, 'Topology.transfer.buffer.size': 1024, 'Storm.messaging.netty.max_wait_ms': 100, 'topology.level': 5, 'topology.priority': 29}",0.0,0.03584718704223633
