run_id,best_config,best_value,runtime
0,"{'N_estimators': 180.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 18.0, 'Min_impurity_decrease': 10.0, 'Max_depth': 7.0}",0.0,15.566645383834839
1,"{'N_estimators': 70.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 18.0, 'Min_impurity_decrease': 1.0, 'Max_depth': 14.0}",0.0,14.96123194694519
2,"{'N_estimators': 90.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 8.0, 'Min_impurity_decrease': 3.0, 'Max_depth': 14.0}",0.0,14.973350286483765
3,"{'N_estimators': 60.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 2.0, 'Min_impurity_decrease': 8.5, 'Max_depth': 4.0}",0.0,17.222388744354248
4,"{'N_estimators': 120.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 19.0, 'Min_impurity_decrease': 2.5, 'Max_depth': 17.0}",0.0,14.397049188613892
5,"{'N_estimators': 80.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 5.0, 'Min_impurity_decrease': 2.0, 'Max_depth': 10.0}",0.0,22.8199143409729
6,"{'N_estimators': 60.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 17.0, 'Min_impurity_decrease': 9.75, 'Max_depth': 14.0}",0.0,16.625200271606445
7,"{'N_estimators': 20.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 6.0, 'Min_impurity_decrease': 8.25, 'Max_depth': 12.0}",0.0,14.91377854347229
8,"{'N_estimators': 30.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 14.0, 'Min_impurity_decrease': 3.0, 'Max_depth': 1.0}",0.0,16.306291341781616
9,"{'N_estimators': 170.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 12.0, 'Min_impurity_decrease': 5.5, 'Max_depth': 2.0}",0.0,22.091832160949707
