run_id,best_config,best_value,runtime
0,"{'Numobs': 283.0, 'Length': 288.9, 'Size': 71.8, 'Bcovfaulty': '0.906522', 'Bcovfixed': '0.910119', 'Lcovfaulty': '0.97503', 'Lcovfixed': '0.975265', 'Numremoved': 0.1, 'Fixedcov': '0.977739'}",0.0,4.607486963272095
1,"{'Numobs': 30.3, 'Length': 26.8, 'Size': 7.5, 'Bcovfaulty': '0.529412', 'Bcovfixed': '0.609524', 'Lcovfaulty': '0.353572', 'Lcovfixed': '0.445454', 'Numremoved': 0.2, 'Fixedcov': '0.735914'}",0.0,4.331054449081421
2,"{'Numobs': 222.0, 'Length': 72.0, 'Size': 10.0, 'Bcovfaulty': '0.870051', 'Bcovfixed': '0.878173', 'Lcovfaulty': '0.996804', 'Lcovfixed': '0.999549', 'Numremoved': 0.0, 'Fixedcov': '0.999549'}",0.0,4.335825443267822
3,"{'Numobs': 528.3, 'Length': 1145.2, 'Size': 197.7, 'Bcovfaulty': '0.757465', 'Bcovfixed': '0.751374', 'Lcovfaulty': '0.664183', 'Lcovfixed': '0.665915', 'Numremoved': 37.4, 'Fixedcov': '0.823842'}",0.0,4.33870267868042
4,"{'Numobs': 43.0, 'Length': 59.1, 'Size': 25.0, 'Bcovfaulty': '0.0675969', 'Bcovfixed': '0.0675969', 'Lcovfaulty': '0.0785908', 'Lcovfixed': '0.078733', 'Numremoved': 0.0, 'Fixedcov': '0.651163'}",0.0,4.430687665939331
5,"{'Numobs': 355.0, 'Length': 427.8, 'Size': 83.5, 'Bcovfaulty': '0.698591', 'Bcovfixed': '0.696428', 'Lcovfaulty': '0.732569', 'Lcovfixed': '0.734648', 'Numremoved': 0.1, 'Fixedcov': '0.735493'}",0.0,4.211731672286987
6,"{'Numobs': 46.3, 'Length': 120.5, 'Size': 18.2, 'Bcovfaulty': '0.922222', 'Bcovfixed': '0.92069', 'Lcovfaulty': '0.954546', 'Lcovfixed': '0.975758', 'Numremoved': 0.4, 'Fixedcov': '0.948105'}",0.0,4.105966806411743
7,"{'Numobs': 643.0, 'Length': 164.3, 'Size': 41.7, 'Bcovfaulty': '0.155659', 'Bcovfixed': '0.155659', 'Lcovfaulty': '0.157091', 'Lcovfixed': '0.157376', 'Numremoved': 0.0, 'Fixedcov': '0.149922'}",0.0,4.281233787536621
8,"{'Numobs': 528.3, 'Length': 1145.2, 'Size': 197.7, 'Bcovfaulty': '0.757465', 'Bcovfixed': '0.751374', 'Lcovfaulty': '0.664183', 'Lcovfixed': '0.665915', 'Numremoved': 37.4, 'Fixedcov': '0.823842'}",0.0,4.410931587219238
9,"{'Numobs': 2955.9, 'Length': 859.3, 'Size': 77.8, 'Bcovfaulty': '0.381508', 'Bcovfixed': '0.385842', 'Lcovfaulty': '0.445692', 'Lcovfixed': '0.455044', 'Numremoved': 0.3, 'Fixedcov': '0.399122'}",0.0,4.318983793258667
