run_id,best_config,best_value,runtime
0,"{'DATA': 4.835, ' ACAP': 3.186, ' AEXP': 3.832, ' CPLx': 1.417, ' DOCU': 3.199, ' ETAT': 1.069, ' FLEx': 4.64, ' KLOC': 22.203, ' LTEx': 2.971, ' PCAP': 3.091, ' PCON': 4.06, ' PLEx': 1.197, ' PMAT': 2.208, ' PREC': 4.793, ' PVOL': 4.841, ' RELY': 2.784, ' RESL': 4.847, ' RUSE': 2.881, ' SCED': 3.0, ' SITE': 5.565, ' STOR': 3.938, ' TEAM': 2.411, ' TIME': 3.812, ' TOOL': 2.0}",0.04169225334811488,93.28899598121643
1,"{'DATA': 3.383, ' ACAP': 4.508, ' AEXP': 2.44, ' CPLx': 2.565, ' DOCU': 3.404, ' ETAT': 4.382, ' FLEx': 3.53, ' KLOC': 21.694, ' LTEx': 1.673, ' PCAP': 4.725, ' PCON': 3.003, ' PLEx': 3.268, ' PMAT': 2.747, ' PREC': 4.248, ' PVOL': 4.639, ' RELY': 3.555, ' RESL': 4.972, ' RUSE': 3.27, ' SCED': 3.0, ' SITE': 1.537, ' STOR': 3.207, ' TEAM': 3.749, ' TIME': 3.271, ' TOOL': 2.0}",0.052759527312741916,87.41087675094604
2,"{'DATA': 3.044, ' ACAP': 3.842, ' AEXP': 4.364, ' CPLx': 1.656, ' DOCU': 4.396, ' ETAT': 2.538, ' FLEx': 3.605, ' KLOC': 11.218, ' LTEx': 1.414, ' PCAP': 3.574, ' PCON': 2.184, ' PLEx': 3.592, ' PMAT': 2.057, ' PREC': 3.299, ' PVOL': 4.468, ' RELY': 2.699, ' RESL': 3.882, ' RUSE': 5.962, ' SCED': 3.0, ' SITE': 3.833, ' STOR': 3.335, ' TEAM': 3.233, ' TIME': 3.782, ' TOOL': 2.0}",0.05508522357522194,82.14817881584167
3,"{'DATA': 3.727, ' ACAP': 3.776, ' AEXP': 2.545, ' CPLx': 2.639, ' DOCU': 1.035, ' ETAT': 4.062, ' FLEx': 1.732, ' KLOC': 17.659, ' LTEx': 3.252, ' PCAP': 3.095, ' PCON': 1.404, ' PLEx': 3.427, ' PMAT': 2.447, ' PREC': 1.515, ' PVOL': 2.812, ' RELY': 2.038, ' RESL': 1.701, ' RUSE': 3.701, ' SCED': 3.0, ' SITE': 2.53, ' STOR': 3.713, ' TEAM': 4.51, ' TIME': 3.307, ' TOOL': 2.0}",0.05950791873119743,85.35890603065491
4,"{'DATA': 3.475, ' ACAP': 4.865, ' AEXP': 4.914, ' CPLx': 3.799, ' DOCU': 1.807, ' ETAT': 4.167, ' FLEx': 3.801, ' KLOC': 15.558, ' LTEx': 2.408, ' PCAP': 3.198, ' PCON': 2.765, ' PLEx': 2.548, ' PMAT': 2.676, ' PREC': 1.502, ' PVOL': 2.947, ' RELY': 3.141, ' RESL': 2.889, ' RUSE': 5.279, ' SCED': 3.0, ' SITE': 2.409, ' STOR': 3.308, ' TEAM': 4.701, ' TIME': 3.35, ' TOOL': 2.0}",0.04741616968652762,83.5542962551117
5,"{'DATA': 2.066, ' ACAP': 3.798, ' AEXP': 4.943, ' CPLx': 1.761, ' DOCU': 4.149, ' ETAT': 2.301, ' FLEx': 4.322, ' KLOC': 31.041, ' LTEx': 3.05, ' PCAP': 3.319, ' PCON': 4.289, ' PLEx': 3.404, ' PMAT': 2.231, ' PREC': 2.804, ' PVOL': 4.211, ' RELY': 3.015, ' RESL': 3.782, ' RUSE': 3.505, ' SCED': 3.0, ' SITE': 5.158, ' STOR': 3.523, ' TEAM': 3.305, ' TIME': 3.148, ' TOOL': 2.0}",0.02513390507330704,83.50109338760376
6,"{'DATA': 3.692, ' ACAP': 4.377, ' AEXP': 3.701, ' CPLx': 3.048, ' DOCU': 1.242, ' ETAT': 2.399, ' FLEx': 3.551, ' KLOC': 43.292, ' LTEx': 3.456, ' PCAP': 3.007, ' PCON': 3.94, ' PLEx': 3.554, ' PMAT': 2.657, ' PREC': 1.392, ' PVOL': 4.461, ' RELY': 3.169, ' RESL': 3.803, ' RUSE': 2.68, ' SCED': 3.0, ' SITE': 1.479, ' STOR': 3.619, ' TEAM': 4.79, ' TIME': 3.734, ' TOOL': 2.0}",0.06521654748015993,82.23764443397522
7,"{'DATA': 3.588, ' ACAP': 3.24, ' AEXP': 3.602, ' CPLx': 2.694, ' DOCU': 1.435, ' ETAT': 3.917, ' FLEx': 1.537, ' KLOC': 24.185, ' LTEx': 3.632, ' PCAP': 3.638, ' PCON': 3.46, ' PLEx': 3.93, ' PMAT': 2.057, ' PREC': 3.161, ' PVOL': 3.255, ' RELY': 2.124, ' RESL': 2.947, ' RUSE': 3.689, ' SCED': 3.0, ' SITE': 5.895, ' STOR': 3.359, ' TEAM': 3.776, ' TIME': 3.096, ' TOOL': 2.0}",0.04290692937346796,83.09898829460144
8,"{'DATA': 4.593, ' ACAP': 3.583, ' AEXP': 3.086, ' CPLx': 1.665, ' DOCU': 3.163, ' ETAT': 1.286, ' FLEx': 2.216, ' KLOC': 17.323, ' LTEx': 2.348, ' PCAP': 3.455, ' PCON': 4.213, ' PLEx': 1.492, ' PMAT': 2.723, ' PREC': 2.922, ' PVOL': 3.145, ' RELY': 2.955, ' RESL': 1.361, ' RUSE': 5.647, ' SCED': 3.0, ' SITE': 5.152, ' STOR': 3.221, ' TEAM': 1.932, ' TIME': 3.169, ' TOOL': 2.0}",0.06287447106286259,82.54148149490356
9,"{'DATA': 2.331, ' ACAP': 3.819, ' AEXP': 4.098, ' CPLx': 2.6, ' DOCU': 3.104, ' ETAT': 1.126, ' FLEx': 3.484, ' KLOC': 34.157, ' LTEx': 3.101, ' PCAP': 3.197, ' PCON': 3.858, ' PLEx': 3.165, ' PMAT': 2.499, ' PREC': 3.187, ' PVOL': 2.66, ' RELY': 2.949, ' RESL': 2.862, ' RUSE': 3.454, ' SCED': 3.0, ' SITE': 2.923, ' STOR': 3.197, ' TEAM': 4.03, ' TIME': 3.841, ' TOOL': 2.0}",0.050815515589219595,82.74951696395874
