run_id,best_config,best_value,runtime
0,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,5.369023323059082
1,"{'Learning_rate': -3.332, 'Gamma': 0.952, 'Nsteps': 16.0, 'Entcoef': 0.005, 'Vfcoef': 0.654, 'Gradnorm': 1.938, 'Lambda': 0.956}",0.4504643906091578,6.321155548095703
2,"{'Learning_rate': -3.332, 'Gamma': 0.952, 'Nsteps': 16.0, 'Entcoef': 0.005, 'Vfcoef': 0.654, 'Gradnorm': 1.938, 'Lambda': 0.956}",0.4504643906091578,6.1335906982421875
3,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,5.888339519500732
4,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,4.400390863418579
5,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,5.600322484970093
6,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,5.987116813659668
7,"{'Learning_rate': -3.332, 'Gamma': 0.952, 'Nsteps': 16.0, 'Entcoef': 0.005, 'Vfcoef': 0.654, 'Gradnorm': 1.938, 'Lambda': 0.956}",0.4504643906091578,6.1460862159729
8,"{'Learning_rate': -3.332, 'Gamma': 0.952, 'Nsteps': 16.0, 'Entcoef': 0.005, 'Vfcoef': 0.654, 'Gradnorm': 1.938, 'Lambda': 0.956}",0.4504643906091578,5.6458740234375
9,"{'Learning_rate': -3.332, 'Gamma': 0.952, 'Nsteps': 16.0, 'Entcoef': 0.005, 'Vfcoef': 0.654, 'Gradnorm': 1.938, 'Lambda': 0.956}",0.4504643906091578,5.994258165359497
