run_id,best_config,best_value,runtime
0,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.6519930362701416
1,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.6143093109130859
2,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.6097164154052734
3,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.677915096282959
4,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 2048.0}",0.004717229689582907,0.7437670230865479
5,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.6297075748443604
6,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.7805881500244141
7,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 1050000.0, 'Heap': 512.0}",0.004885495408456991,0.8278388977050781
8,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.8572759628295898
9,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.8318161964416504
