run_id,best_config,best_value,runtime
0,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 0.0, 'log_beta_2': 0.0, 'log_epsilon': 1.0, 'log_decay': 0.0}",1.445070656247438e-06,1.881162405014038
1,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.9597620964050293
2,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.7894926071166992
3,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.8424859046936035
4,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.8764245510101318
5,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.913931131362915
6,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.8397934436798096
7,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.8086729049682617
8,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.8127844333648682
9,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,1.809694766998291
