run_id,best_config,best_value,runtime
0,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 5176.0, 'Unique Entry ID': 0.0}",0.0,1.4591968059539795
1,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 5176.0, 'Unique Entry ID': 0.0}",0.0,1.251816749572754
2,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9664.0, 'Unique Entry ID': 0.0}",0.0,1.4997904300689697
3,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.5887184143066406
4,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.4896795749664307
5,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.4844210147857666
6,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.5067708492279053
7,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.4845733642578125
8,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.4965267181396484
9,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,1.490143060684204
