run_id,best_config,best_value,runtime
0,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.6028320789337158
1,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5936520099639893
2,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5923080444335938
3,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5914955139160156
4,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5831522941589355
5,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5819425582885742
6,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5798225402832031
7,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.7940800189971924
8,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5850844383239746
9,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 15.0}",0.0,0.5816280841827393
