run_id,best_config,best_value,runtime
0,"{'DATA': 3.832, ' ACAP': 3.246, ' AEXP': 3.484, ' CPLx': 2.696, ' DOCU': 2.676, ' ETAT': 3.951, ' FLEx': 1.8, ' KLOC': 11.455, ' LTEx': 2.258, ' PCAP': 3.209, ' PCON': 1.53, ' PLEx': 3.085, ' PMAT': 2.799, ' PREC': 3.467, ' PVOL': 3.063, ' RELY': 2.035, ' RESL': 2.026, ' RUSE': 4.355, ' SCED': 3.0, ' SITE': 5.154, ' STOR': 3.648, ' TEAM': 4.448, ' TIME': 3.367, ' TOOL': 2.0}",0.05934202960678982,163.5948624610901
1,"{'DATA': 4.098, ' ACAP': 4.995, ' AEXP': 4.444, ' CPLx': 2.183, ' DOCU': 2.319, ' ETAT': 2.476, ' FLEx': 1.151, ' KLOC': 28.412, ' LTEx': 3.421, ' PCAP': 4.312, ' PCON': 3.09, ' PLEx': 3.402, ' PMAT': 2.223, ' PREC': 3.152, ' PVOL': 3.288, ' RELY': 3.548, ' RESL': 3.911, ' RUSE': 2.448, ' SCED': 3.0, ' SITE': 5.541, ' STOR': 3.667, ' TEAM': 3.438, ' TIME': 3.282, ' TOOL': 2.0}",0.03947142562465712,169.08562421798706
2,"{'DATA': 2.697, ' ACAP': 3.511, ' AEXP': 4.261, ' CPLx': 2.709, ' DOCU': 1.592, ' ETAT': 3.517, ' FLEx': 4.327, ' KLOC': 18.683, ' LTEx': 3.658, ' PCAP': 3.62, ' PCON': 4.609, ' PLEx': 2.795, ' PMAT': 2.36, ' PREC': 3.866, ' PVOL': 4.361, ' RELY': 2.817, ' RESL': 1.778, ' RUSE': 3.795, ' SCED': 3.0, ' SITE': 1.709, ' STOR': 3.342, ' TEAM': 4.266, ' TIME': 3.196, ' TOOL': 2.0}",0.04081803994581476,163.17277240753174
3,"{'DATA': 2.697, ' ACAP': 3.511, ' AEXP': 4.261, ' CPLx': 2.709, ' DOCU': 1.592, ' ETAT': 3.517, ' FLEx': 4.327, ' KLOC': 18.683, ' LTEx': 3.658, ' PCAP': 3.62, ' PCON': 4.609, ' PLEx': 2.795, ' PMAT': 2.36, ' PREC': 3.866, ' PVOL': 4.361, ' RELY': 2.817, ' RESL': 1.778, ' RUSE': 3.795, ' SCED': 3.0, ' SITE': 1.709, ' STOR': 3.342, ' TEAM': 4.266, ' TIME': 3.196, ' TOOL': 2.0}",0.04081803994581476,163.45065450668335
4,"{'DATA': 2.614, ' ACAP': 4.915, ' AEXP': 4.057, ' CPLx': 2.847, ' DOCU': 4.094, ' ETAT': 2.757, ' FLEx': 3.723, ' KLOC': 45.113, ' LTEx': 2.561, ' PCAP': 4.594, ' PCON': 3.319, ' PLEx': 3.569, ' PMAT': 2.692, ' PREC': 4.93, ' PVOL': 3.993, ' RELY': 3.091, ' RESL': 3.944, ' RUSE': 2.367, ' SCED': 3.0, ' SITE': 3.603, ' STOR': 3.632, ' TEAM': 4.891, ' TIME': 3.676, ' TOOL': 2.0}",0.06974522825924916,162.51607966423035
5,"{'DATA': 2.494, ' ACAP': 3.664, ' AEXP': 3.418, ' CPLx': 3.406, ' DOCU': 1.935, ' ETAT': 1.097, ' FLEx': 1.931, ' KLOC': 23.172, ' LTEx': 3.51, ' PCAP': 3.772, ' PCON': 2.118, ' PLEx': 2.615, ' PMAT': 2.692, ' PREC': 4.478, ' PVOL': 3.583, ' RELY': 3.087, ' RESL': 1.828, ' RUSE': 2.638, ' SCED': 3.0, ' SITE': 5.137, ' STOR': 3.561, ' TEAM': 3.98, ' TIME': 3.028, ' TOOL': 2.0}",0.06024340426606603,153.9282968044281
6,"{'DATA': 3.045, ' ACAP': 3.244, ' AEXP': 4.693, ' CPLx': 1.016, ' DOCU': 3.662, ' ETAT': 2.889, ' FLEx': 1.277, ' KLOC': 19.228, ' LTEx': 3.269, ' PCAP': 3.087, ' PCON': 3.307, ' PLEx': 3.322, ' PMAT': 2.061, ' PREC': 1.06, ' PVOL': 2.714, ' RELY': 3.831, ' RESL': 4.599, ' RUSE': 2.431, ' SCED': 3.0, ' SITE': 5.712, ' STOR': 3.71, ' TEAM': 1.974, ' TIME': 3.477, ' TOOL': 2.0}",0.04686350540952243,166.87696599960327
7,"{'DATA': 3.616, ' ACAP': 4.158, ' AEXP': 4.446, ' CPLx': 3.694, ' DOCU': 1.929, ' ETAT': 3.572, ' FLEx': 4.649, ' KLOC': 13.417, ' LTEx': 3.173, ' PCAP': 4.423, ' PCON': 1.474, ' PLEx': 3.333, ' PMAT': 2.64, ' PREC': 3.607, ' PVOL': 3.961, ' RELY': 3.258, ' RESL': 4.18, ' RUSE': 3.281, ' SCED': 3.0, ' SITE': 2.163, ' STOR': 3.966, ' TEAM': 4.631, ' TIME': 3.143, ' TOOL': 2.0}",0.061957787682240854,157.8546540737152
8,"{'DATA': 2.773, ' ACAP': 4.736, ' AEXP': 4.854, ' CPLx': 3.2, ' DOCU': 1.601, ' ETAT': 2.296, ' FLEx': 4.007, ' KLOC': 11.837, ' LTEx': 2.648, ' PCAP': 4.241, ' PCON': 2.989, ' PLEx': 1.262, ' PMAT': 2.816, ' PREC': 3.268, ' PVOL': 3.658, ' RELY': 3.133, ' RESL': 3.619, ' RUSE': 5.438, ' SCED': 3.0, ' SITE': 2.507, ' STOR': 3.591, ' TEAM': 3.048, ' TIME': 3.075, ' TOOL': 2.0}",0.034006463632995414,170.4491753578186
9,"{'DATA': 3.999, ' ACAP': 3.796, ' AEXP': 2.76, ' CPLx': 2.059, ' DOCU': 1.117, ' ETAT': 3.778, ' FLEx': 4.177, ' KLOC': 11.621, ' LTEx': 3.34, ' PCAP': 3.633, ' PCON': 2.318, ' PLEx': 1.732, ' PMAT': 2.49, ' PREC': 3.396, ' PVOL': 2.723, ' RELY': 2.327, ' RESL': 4.006, ' RUSE': 3.215, ' SCED': 3.0, ' SITE': 3.033, ' STOR': 3.851, ' TEAM': 2.135, ' TIME': 3.961, ' TOOL': 2.0}",0.04400903711471502,173.31399035453796
