run_id,best_config,best_value,runtime
0,"{'Numobs': 238.0, 'Length': 111.5, 'Size': 59.6, 'Bcovfaulty': '0.759071', 'Bcovfixed': '0.756277', 'Lcovfaulty': '0.884454', 'Lcovfixed': '0.884454', 'Numremoved': 0.0, 'Fixedcov': '0.884454'}",0.0,160.58904004096985
1,"{'Numobs': 299.0, 'Length': 193.1, 'Size': 36.5, 'Bcovfaulty': '0.167419', 'Bcovfixed': '0.192378', 'Lcovfaulty': '0.186559', 'Lcovfixed': '0.194695', 'Numremoved': 1.5, 'Fixedcov': '0.471906'}",0.0,160.40549659729004
2,"{'Numobs': 114.0, 'Length': 97.2, 'Size': 47.6, 'Bcovfaulty': '0.973099', 'Bcovfixed': '0.982456', 'Lcovfaulty': '0.970246', 'Lcovfixed': '0.973825', 'Numremoved': 0.0, 'Fixedcov': '0.982456'}",0.0,160.04986310005188
3,"{'Numobs': 562.0, 'Length': 675.5, 'Size': 66.8, 'Bcovfaulty': '0.889687', 'Bcovfixed': '0.897464', 'Lcovfaulty': '0.875852', 'Lcovfixed': '0.883858', 'Numremoved': 0.5, 'Fixedcov': '0.848755'}",0.0,159.83723616600037
4,"{'Numobs': 296.0, 'Length': 600.8, 'Size': 114.2, 'Bcovfaulty': '0.965415', 'Bcovfixed': '0.960606', 'Lcovfaulty': '0.960506', 'Lcovfixed': '0.956955', 'Numremoved': 0.4, 'Fixedcov': '0.944257'}",0.0,160.6126103401184
5,"{'Numobs': 299.0, 'Length': 193.1, 'Size': 36.5, 'Bcovfaulty': '0.167419', 'Bcovfixed': '0.192378', 'Lcovfaulty': '0.186559', 'Lcovfixed': '0.194695', 'Numremoved': 1.5, 'Fixedcov': '0.471906'}",0.0,159.94300246238708
6,"{'Numobs': 171.0, 'Length': 413.9, 'Size': 64.2, 'Bcovfaulty': '0.571006', 'Bcovfixed': '0.578488', 'Lcovfaulty': '0.542277', 'Lcovfixed': '0.552174', 'Numremoved': 0.1, 'Fixedcov': '0.576608'}",0.0,161.03075742721558
7,"{'Numobs': 428.0, 'Length': 411.7, 'Size': 29.0, 'Bcovfaulty': '0.707071', 'Bcovfixed': '0.706993', 'Lcovfaulty': '0.796966', 'Lcovfixed': '0.795808', 'Numremoved': 2.4, 'Fixedcov': '0.727336'}",0.0,162.67291855812073
8,"{'Numobs': 903.0, 'Length': 174.1, 'Size': 115.6, 'Bcovfaulty': '0.708676', 'Bcovfixed': '0.706919', 'Lcovfaulty': '0.837277', 'Lcovfixed': '0.836056', 'Numremoved': 0.0, 'Fixedcov': '0.941196'}",0.0,158.3102478981018
9,"{'Numobs': 1330.3, 'Length': 637.9, 'Size': 43.0, 'Bcovfaulty': '0.840874', 'Bcovfixed': '0.846023', 'Lcovfaulty': '0.911218', 'Lcovfixed': '0.915865', 'Numremoved': 6.9, 'Fixedcov': '0.946855'}",0.0,159.64918613433838
