run_id,best_config,best_value,runtime
0,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.5917978286743164
1,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.7206003665924072
2,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.409533739089966
3,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.1989777088165283
4,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.649158239364624
5,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.8277883529663086
6,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.6363654136657715
7,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.6327130794525146
8,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.6089298725128174
9,"{'batch_size': 0.0, 'conv_1_num_filters': 0.0, 'conv_1_filter_size': 0.0, 'conv_2_num_filters': 0.0, 'conv_2_filter_size': 1.0, 'conv_3_num_filters': 0.0, 'conv_3_filter_size': 0.0, 'log_lr': 0.0, 'log_beta_1': 1.0, 'log_beta_2': 0.0, 'log_epsilon': 0.0, 'log_decay': 0.0}",0.0,3.6239442825317383
