run_id,best_config,best_value,runtime
0,"{'root': 1.0, 'filterOff': 0.0, 'headerCompressionOff': 0.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 80.0, 'BlockSize': 4096.0, 'Xval': 4.0}",0.000282602665885201,0.2157280445098877
1,"{'root': 1.0, 'filterOff': 0.0, 'headerCompressionOff': 0.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 60.0, 'BlockSize': 4096.0, 'Xval': 4.0}",0.0005604477111325057,0.23306941986083984
2,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 90.0, 'BlockSize': 2048.0, 'Xval': 4.0}",0.00026690251778038743,0.21130919456481934
3,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 1.0, 'Files': 80.0, 'BlockSize': 512.0, 'Xval': 4.0}",0.0002397840801450224,0.21143746376037598
4,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 100.0, 'BlockSize': 256.0, 'Xval': 2.0}",0.001107574084479146,0.3409903049468994
5,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 60.0, 'BlockSize': 512.0, 'Xval': 2.0}",0.0012022507351713285,0.21518182754516602
6,"{'root': 1.0, 'filterOff': 0.0, 'headerCompressionOff': 0.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 100.0, 'BlockSize': 4096.0, 'Xval': 2.0}",0.0011660928183240271,0.2167069911956787
7,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 1.0, 'Files': 30.0, 'BlockSize': 32.0, 'Xval': 4.0}",0.0009220268796050757,0.21506094932556152
8,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 1.0, 'Files': 70.0, 'BlockSize': 64.0, 'Xval': 4.0}",0.00045292548471831395,0.23720741271972656
9,"{'root': 1.0, 'filterOff': 1.0, 'headerCompressionOff': 1.0, 'mtOff': 0.0, 'compressionMethod': 1.0, 'lZMA': 0.0, 'lZMA2': 1.0, 'pPMd': 0.0, 'bZip2': 0.0, 'deflate': 0.0, 'tmOff': 0.0, 'Files': 80.0, 'BlockSize': 512.0, 'Xval': 4.0}",0.00026024184888751023,0.22421741485595703
