run_id,best_config,best_value,runtime
0,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.9495952129364014
1,"{'Learning_rate': -3.278, 'Gamma': 0.941, 'Nsteps': 12.0, 'Entcoef': 0.009, 'Vfcoef': 0.742, 'Gradnorm': 0.716, 'Lambda': 0.984}",0.4848241918463384,0.8936467170715332
2,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.9019060134887695
3,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.9181418418884277
4,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.9008278846740723
5,"{'Learning_rate': -3.196, 'Gamma': 0.904, 'Nsteps': 13.0, 'Entcoef': 0.009, 'Vfcoef': 0.972, 'Gradnorm': 1.5, 'Lambda': 0.957}",0.49527002473573134,0.8818793296813965
6,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.9040415287017822
7,"{'Learning_rate': -3.067, 'Gamma': 0.906, 'Nsteps': 10.0, 'Entcoef': 0.008, 'Vfcoef': 0.671, 'Gradnorm': 0.876, 'Lambda': 0.96}",0.4875544450837447,0.9074010848999023
8,"{'Learning_rate': -3.414, 'Gamma': 0.914, 'Nsteps': 13.0, 'Entcoef': 0.003, 'Vfcoef': 0.817, 'Gradnorm': 1.426, 'Lambda': 0.969}",0.518420872006737,0.9795570373535156
9,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.8911230564117432
