run_id,best_config,best_value,runtime
0,"{'Spout_wait': 5.0, 'Spliters': 6.0, 'Counters': 18.0}",0.03893991222898482,0.15985536575317383
1,"{'Spout_wait': 9.0, 'Spliters': 3.0, 'Counters': 17.0}",0.02003399425027811,0.14373469352722168
2,"{'Spout_wait': 9.0, 'Spliters': 6.0, 'Counters': 17.0}",0.008586239120553875,0.14365315437316895
3,"{'Spout_wait': 10.0, 'Spliters': 4.0, 'Counters': 18.0}",0.05677465215899003,0.13964152336120605
4,"{'Spout_wait': 8.0, 'Spliters': 4.0, 'Counters': 17.0}",0.03813545359759935,0.14360404014587402
5,"{'Spout_wait': 5.0, 'Spliters': 6.0, 'Counters': 18.0}",0.03893991222898482,0.14511919021606445
6,"{'Spout_wait': 8.0, 'Spliters': 6.0, 'Counters': 18.0}",0.023408920605627135,0.14498257637023926
7,"{'Spout_wait': 10.0, 'Spliters': 6.0, 'Counters': 17.0}",0.0007473637588413267,0.14448094367980957
8,"{'Spout_wait': 10.0, 'Spliters': 5.0, 'Counters': 17.0}",0.019199269545525532,0.23792672157287598
9,"{'Spout_wait': 9.0, 'Spliters': 6.0, 'Counters': 17.0}",0.008586239120553875,0.14200854301452637
