run_id,best_config,best_value,runtime
0,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482003422813653,0.13115954399108887
1,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 15.0}",0.373962536937878,0.11950850486755371
2,"{'Max_spout': 100000.0, 'Spliters': 1.0, 'Counters': 9.0}",0.3516674107597572,0.12398314476013184
3,"{'Max_spout': 1000000.0, 'Spliters': 2.0, 'Counters': 18.0}",0.3164259069728935,0.11826848983764648
4,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482003422813653,0.11711764335632324
5,"{'Max_spout': 1000000.0, 'Spliters': 2.0, 'Counters': 18.0}",0.3164259069728935,0.11443400382995605
6,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482003422813653,0.11854672431945801
7,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482003422813653,0.11680722236633301
8,"{'Max_spout': 1000000.0, 'Spliters': 1.0, 'Counters': 9.0}",0.32012653299473015,0.11744976043701172
9,"{'Max_spout': 1000000.0, 'Spliters': 2.0, 'Counters': 18.0}",0.3164259069728935,0.11783194541931152
