run_id,best_config,best_value,runtime
0,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482522082801707,0.11420702934265137
1,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482522082801707,0.1080312728881836
2,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 15.0}",0.3975491585218419,0.10951375961303711
3,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482522082801707,0.11228537559509277
4,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482522082801707,0.10711789131164551
5,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 15.0}",0.3534006710681069,0.10802650451660156
6,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 15.0}",0.3975491585218419,0.10793685913085938
7,"{'Max_spout': 10000.0, 'Spliters': 2.0, 'Counters': 9.0}",0.39158101576180454,0.10653972625732422
8,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 18.0}",0.36703078577231235,0.10668063163757324
9,"{'Max_spout': 1000.0, 'Spliters': 2.0, 'Counters': 12.0}",0.3482522082801707,0.10672879219055176
