run_id,best_config,best_value,runtime
0,"{'compressed_script': 0.0, 'encryption': 1.0, 'crypt_aes': 1.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 0.0, 'txc_locks': 1.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 1.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.0041266521864684715,0.21404337882995605
1,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 0.0, 'txc_locks': 1.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 0.0, 'detailed_logging': 0.0, 'no_write_delay': 0.0, 'small_log': 0.0}",0.0021098639239162742,0.1964092254638672
2,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 1.0, 'txc_locks': 0.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 0.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.003920515880395606,0.19698262214660645
3,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 1.0, 'txc_mvcc': 0.0, 'txc_locks': 0.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 0.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.003747648617275344,0.29951024055480957
4,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 1.0, 'txc_mvcc': 0.0, 'txc_locks': 0.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 0.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.003747648617275344,0.19269347190856934
5,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 1.0, 'txc_locks': 0.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 1.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.0020821764380327713,0.19350218772888184
6,"{'compressed_script': 0.0, 'encryption': 1.0, 'crypt_aes': 1.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 0.0, 'txc_locks': 1.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 1.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.0041266521864684715,0.19451546669006348
7,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 0.0, 'txc_locks': 1.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 0.0, 'detailed_logging': 0.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.003864921484619702,0.19919371604919434
8,"{'compressed_script': 0.0, 'encryption': 0.0, 'crypt_aes': 0.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 1.0, 'txc_mvcc': 0.0, 'txc_locks': 0.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 0.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.003747648617275344,0.19471383094787598
9,"{'compressed_script': 0.0, 'encryption': 1.0, 'crypt_aes': 1.0, 'crypt_blowfish': 0.0, 'transaction_control': 1.0, 'txc_mvlocks': 0.0, 'txc_mvcc': 0.0, 'txc_locks': 1.0, 'table_type': 1.0, 'memory_tables': 1.0, 'cached_tables': 0.0, 'small_cache': 0.0, 'large_cache': 0.0, 'logging': 1.0, 'detailed_logging': 1.0, 'no_write_delay': 1.0, 'small_log': 0.0}",0.0041266521864684715,0.19564127922058105
