run_id,best_config,best_value,runtime
0,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9664.0, 'Unique Entry ID': 0.0}",0.0,0.34012627601623535
1,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 110.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9789.0, 'Unique Entry ID': 0.0}",0.101123595505618,0.3267841339111328
2,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9664.0, 'Unique Entry ID': 0.0}",0.0,0.31969571113586426
3,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,0.3242764472961426
4,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9664.0, 'Unique Entry ID': 0.0}",0.0,0.32068300247192383
5,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,0.3262648582458496
6,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,0.321134090423584
7,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 120.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 3096.0, 'Unique Entry ID': 0.0}",0.1460674157303371,0.32366418838500977
8,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,0.32254528999328613
9,"{'Name': 0.0, 'Variation': 0.0, 'DIY': 0.0, 'Sell': 87.0, 'Color 1': 0.0, 'Color 2': 0.0, 'Size': 0.0, 'Miles Price': 400.0, 'Source': 0.0, 'Source Notes': 0.0, 'Seasonal Availability': 0.0, 'Mannequin Piece': 0.0, 'Version': 0.0, 'Style': 0.0, 'Label Themes': 0.0, 'Villager Equippable': 0.0, 'Catalog': 0.0, 'Filename': 0.0, 'Internal ID': 9670.0, 'Unique Entry ID': 0.0}",0.0,0.31833577156066895
