run_id,best_config,best_value,runtime
0,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.14259076118469238
1,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.12678170204162598
2,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.12728619575500488
3,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.12579894065856934
4,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 9.0}",0.003115159039619231,0.12726664543151855
5,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.12486410140991211
6,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.12838482856750488
7,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.12512421607971191
8,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.1269235610961914
9,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.12775659561157227
