run_id,best_config,best_value,runtime
0,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.051844120025634766
1,"{'Gamma': 0.98, 'Learninrate': -3.97, 'Nsteps': 7.0, 'Entcoef': 0.001, 'Vfcoef': 0.804, 'Maxgrad_norm': 3.066, 'Gaelambda': 0.934, 'NumLayers': 2.0, 'Layer1Nodes': 256.0, 'Layer2Nodes': 64.0}",0.3727135709480587,0.04690241813659668
2,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.041744232177734375
3,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.04166388511657715
4,"{'Gamma': 0.98, 'Learninrate': -3.97, 'Nsteps': 7.0, 'Entcoef': 0.001, 'Vfcoef': 0.804, 'Maxgrad_norm': 3.066, 'Gaelambda': 0.934, 'NumLayers': 2.0, 'Layer1Nodes': 256.0, 'Layer2Nodes': 64.0}",0.3727135709480587,0.04352450370788574
5,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.04291176795959473
6,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.04014420509338379
7,"{'Gamma': 0.965, 'Learninrate': -4.49, 'Nsteps': 10.0, 'Entcoef': 0.006, 'Vfcoef': 0.971, 'Maxgrad_norm': 3.345, 'Gaelambda': 0.954, 'NumLayers': 2.0, 'Layer1Nodes': 128.0, 'Layer2Nodes': 64.0}",0.3751793393663609,0.04055500030517578
8,"{'Gamma': 0.968, 'Learninrate': -3.789, 'Nsteps': 5.0, 'Entcoef': 0.003, 'Vfcoef': 0.895, 'Maxgrad_norm': 3.857, 'Gaelambda': 0.969, 'NumLayers': 2.0, 'Layer1Nodes': 16.0, 'Layer2Nodes': 16.0}",0.29919973892048835,0.04219770431518555
9,"{'Gamma': 0.965, 'Learninrate': -4.49, 'Nsteps': 10.0, 'Entcoef': 0.006, 'Vfcoef': 0.971, 'Maxgrad_norm': 3.345, 'Gaelambda': 0.954, 'NumLayers': 2.0, 'Layer1Nodes': 128.0, 'Layer2Nodes': 64.0}",0.3751793393663609,0.04075288772583008
