run_id,best_config,best_value,runtime
0,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.02884674072265625
1,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.025898456573486328
2,"{'Learning_rate': -3.835, 'Gamma': 0.925, 'Nsteps': 15.0, 'Entcoef': 0.009, 'Vfcoef': 0.766, 'Gradnorm': 1.834, 'Lambda': 0.971}",0.4924688312773391,0.028012514114379883
3,"{'Learning_rate': -3.278, 'Gamma': 0.941, 'Nsteps': 12.0, 'Entcoef': 0.009, 'Vfcoef': 0.742, 'Gradnorm': 0.716, 'Lambda': 0.984}",0.4848241918463384,0.02918720245361328
4,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.02542591094970703
5,"{'Learning_rate': -3.161, 'Gamma': 0.995, 'Nsteps': 13.0, 'Entcoef': 0.001, 'Vfcoef': 0.535, 'Gradnorm': 1.039, 'Lambda': 0.903}",0.4953118298911789,0.025510549545288086
6,"{'Learning_rate': -3.423, 'Gamma': 0.956, 'Nsteps': 19.0, 'Entcoef': 0.001, 'Vfcoef': 0.965, 'Gradnorm': 1.923, 'Lambda': 0.948}",0.47509311134098486,0.0253298282623291
7,"{'Learning_rate': -3.196, 'Gamma': 0.904, 'Nsteps': 13.0, 'Entcoef': 0.009, 'Vfcoef': 0.972, 'Gradnorm': 1.5, 'Lambda': 0.957}",0.49527002473573134,0.02500152587890625
8,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.02667379379272461
9,"{'Learning_rate': -3.085, 'Gamma': 0.977, 'Nsteps': 17.0, 'Entcoef': 0.006, 'Vfcoef': 0.516, 'Gradnorm': 0.998, 'Lambda': 0.939}",0.009618634912556564,0.02612161636352539
