run_id,best_config,best_value,runtime
0,"{'N_estimators': 10.0, 'criterion': 'poisson', 'Min_sample_leaves': 6.0, 'Min_impurity_decrease': 1.0, 'Max_depth': 14.0}",0.2019785053065533,0.04165339469909668
1,"{'N_estimators': 10.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 5.0, 'Min_impurity_decrease': 5.5, 'Max_depth': 18.0}",0.21714182196115048,0.037697792053222656
2,"{'N_estimators': 180.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 5.0, 'Min_impurity_decrease': 1.75, 'Max_depth': 2.0}",0.22200920803177923,0.03657650947570801
3,"{'N_estimators': 30.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 5.0, 'Min_impurity_decrease': 5.25, 'Max_depth': 3.0}",0.22000451711410812,0.037431955337524414
4,"{'N_estimators': 30.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 4.0, 'Min_impurity_decrease': 4.0, 'Max_depth': 8.0}",0.21698446573833818,0.03720688819885254
5,"{'N_estimators': 10.0, 'criterion': 'poisson', 'Min_sample_leaves': 7.0, 'Min_impurity_decrease': 2.25, 'Max_depth': 11.0}",0.2204881471397021,0.03691244125366211
6,"{'N_estimators': 10.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 9.0, 'Min_impurity_decrease': 6.25, 'Max_depth': 16.0}",0.21977210149175833,0.036490440368652344
7,"{'N_estimators': 10.0, 'criterion': 'poisson', 'Min_sample_leaves': 6.0, 'Min_impurity_decrease': 1.0, 'Max_depth': 14.0}",0.2019785053065533,0.03663277626037598
8,"{'N_estimators': 10.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 19.0, 'Min_impurity_decrease': 4.25, 'Max_depth': 6.0}",0.22071255547636706,0.03589963912963867
9,"{'N_estimators': 20.0, 'criterion': 'absolute_error', 'Min_sample_leaves': 18.0, 'Min_impurity_decrease': 0.75, 'Max_depth': 11.0}",0.22384941449486137,0.036733388900756836
