run_id,best_config,best_value,runtime
0,"{'Time_in_hospital': 8.0, 'Num_lab_procedures': 77.0, 'Num_procedures': 6.0, 'Num_medications': 55.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 1.0, 'Number_diagnoses': 9.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 1.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 0.0, 'payer_code_MC': 1.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 0.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 1.0, 'diag_1_428': 0.0, 'diag_1_414': 1.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 0.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 1.0, 'metformin_No': 0.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 0.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 0.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 0.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.2977278232574463
1,"{'Time_in_hospital': 5.0, 'Num_lab_procedures': 78.0, 'Num_procedures': 0.0, 'Num_medications': 13.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 7.0, 'race_Caucasian': 0.0, 'race_AfricanAmerican': 1.0, 'gender_Female': 1.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 1.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 0.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 1.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 1.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 1.0, 'diag_2_428': 0.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 0.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 1.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 1.0, 'diabetesMed_Yes': 1.0}",0.0,0.295238733291626
2,"{'Time_in_hospital': 6.0, 'Num_lab_procedures': 57.0, 'Num_procedures': 0.0, 'Num_medications': 12.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 4.0, 'race_Caucasian': 0.0, 'race_AfricanAmerican': 1.0, 'gender_Female': 1.0, 'age_[70-80)': 0.0, 'age_[60-70)': 0.0, 'age_[50-60)': 1.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 1.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 1.0, 'diag_2_276': 0.0, 'diag_2_428': 0.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 1.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 0.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 1.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 1.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 1.0, 'diabetesMed_Yes': 0.0}",0.0,0.28961682319641113
3,"{'Time_in_hospital': 2.0, 'Num_lab_procedures': 49.0, 'Num_procedures': 6.0, 'Num_medications': 33.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 9.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 1.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 0.0, 'payer_code_MC': 1.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 1.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 0.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 1.0, 'glyburide_No': 0.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 0.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 1.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.29357051849365234
4,"{'Time_in_hospital': 7.0, 'Num_lab_procedures': 71.0, 'Num_procedures': 1.0, 'Num_medications': 22.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 9.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 0.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 1.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 0.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 1.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 1.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 0.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 0.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.298417329788208
5,"{'Time_in_hospital': 1.0, 'Num_lab_procedures': 38.0, 'Num_procedures': 0.0, 'Num_medications': 14.0, 'Number_outpatient': 1.0, 'Number_emergency': 0.0, 'Number_inpatient': 2.0, 'Number_diagnoses': 9.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 1.0, 'age_[70-80)': 0.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 1.0, 'age_[40-50)': 0.0, 'payer_code': 1.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 1.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 1.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 1.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 1.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 0.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.2966299057006836
6,"{'Time_in_hospital': 11.0, 'Num_lab_procedures': 25.0, 'Num_procedures': 0.0, 'Num_medications': 28.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 1.0, 'Number_diagnoses': 8.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 1.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 1.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 0.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 1.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 1.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 0.0, 'a1Cresult_None': 1.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 0.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.29260897636413574
7,"{'Time_in_hospital': 4.0, 'Num_lab_procedures': 47.0, 'Num_procedures': 0.0, 'Num_medications': 12.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 5.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 0.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 0.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 1.0, 'payer_code_BC': 0.0, 'medical_specialty': 1.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 1.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 1.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 1.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 0.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 1.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 1.0, 'diabetesMed_Yes': 1.0}",0.0,0.29764342308044434
8,"{'Time_in_hospital': 9.0, 'Num_lab_procedures': 77.0, 'Num_procedures': 0.0, 'Num_medications': 14.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 8.0, 'race_Caucasian': 1.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 1.0, 'age_[70-80)': 0.0, 'age_[60-70)': 1.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 0.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 1.0, 'payer_code_BC': 0.0, 'medical_specialty': 0.0, 'medical_specialty_InternalMedicine': 0.0, 'medical_specialty_Emergency/Trauma': 1.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 1.0, 'diag_2_428': 0.0, 'diag_2_250': 0.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 0.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 0.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 0.0, 'glyburide_No': 1.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 1.0, 'rosiglitazone_No': 0.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 0.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.29230809211730957
9,"{'Time_in_hospital': 3.0, 'Num_lab_procedures': 1.0, 'Num_procedures': 0.0, 'Num_medications': 8.0, 'Number_outpatient': 0.0, 'Number_emergency': 0.0, 'Number_inpatient': 0.0, 'Number_diagnoses': 6.0, 'race_Caucasian': 0.0, 'race_AfricanAmerican': 0.0, 'gender_Female': 0.0, 'age_[70-80)': 1.0, 'age_[60-70)': 0.0, 'age_[50-60)': 0.0, 'age_[80-90)': 0.0, 'age_[40-50)': 0.0, 'payer_code': 0.0, 'payer_code_MC': 0.0, 'payer_code_HM': 0.0, 'payer_code_SP': 1.0, 'payer_code_BC': 0.0, 'medical_specialty': 0.0, 'medical_specialty_InternalMedicine': 1.0, 'medical_specialty_Emergency/Trauma': 0.0, 'medical_specialty_Family/GeneralPractice': 0.0, 'medical_specialty_Cardiology': 0.0, 'diag_1_428': 0.0, 'diag_1_414': 0.0, 'diag_1_786': 0.0, 'diag_2_276': 0.0, 'diag_2_428': 0.0, 'diag_2_250': 1.0, 'diag_2_427': 0.0, 'diag_3_250': 0.0, 'diag_3_401': 1.0, 'diag_3_276': 0.0, 'diag_3_428': 0.0, 'max_glu_serum_None': 1.0, 'a1Cresult_None': 1.0, 'metformin_No': 1.0, 'repaglinide_No': 1.0, 'nateglinide_No': 1.0, 'chlorpropamide_No': 1.0, 'glimepiride_No': 1.0, 'acetohexamide_No': 1.0, 'glipizide_No': 1.0, 'glyburide_No': 0.0, 'tolbutamide_No': 1.0, 'pioglitazone_No': 0.0, 'rosiglitazone_No': 1.0, 'acarbose_No': 1.0, 'miglitol_No': 1.0, 'troglitazone_No': 1.0, 'tolazamide_No': 1.0, 'examide_No': 1.0, 'citoglipton_No': 1.0, 'insulin_No': 1.0, 'glyburide-metformin_No': 1.0, 'glipizide-metformin_No': 1.0, 'glimepiride-pioglitazone_No': 1.0, 'metformin-rosiglitazone_No': 1.0, 'metformin-pioglitazone_No': 1.0, 'change_No': 0.0, 'diabetesMed_Yes': 1.0}",0.0,0.2882497310638428
