run_id,best_config,best_value,runtime
0,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 1.0}",4.1023799471449915e-05,0.17939329147338867
1,"{'Spout_wait': 5.0, 'Spliters': 6.0, 'Counters': 16.0}",0.05281542808411359,0.17050528526306152
2,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 10.0}",0.04293529150197436,0.17078733444213867
3,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 1.0}",4.1023799471449915e-05,0.15589070320129395
4,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 1.0}",4.1023799471449915e-05,0.15654706954956055
5,"{'Spout_wait': 2.0, 'Spliters': 5.0, 'Counters': 14.0}",0.04724666887988786,0.16420459747314453
6,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 1.0}",4.1023799471449915e-05,0.16538524627685547
7,"{'Spout_wait': 6.0, 'Spliters': 3.0, 'Counters': 1.0}",0.042276645461945726,0.1600797176361084
8,"{'Spout_wait': 4.0, 'Spliters': 5.0, 'Counters': 10.0}",0.049283093236008796,0.16741561889648438
9,"{'Spout_wait': 5.0, 'Spliters': 5.0, 'Counters': 1.0}",4.1023799471449915e-05,0.17294836044311523
