run_id,best_config,best_value,runtime
0,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.16480422019958496
1,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.14077472686767578
2,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.13825726509094238
3,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.13695859909057617
4,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.1375885009765625
5,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.13650941848754883
6,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 1024.0}",0.002120406861118333,0.1365337371826172
7,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.13687825202941895
8,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 262000.0, 'Heap': 2048.0}",0.004717229689582907,0.13603901863098145
9,"{'Spout': 1.0, 'Split': 2.0, 'Count': 12.0, 'Buffer_size': 5240000.0, 'Heap': 512.0}",0.0,0.13994503021240234
