run_id,best_config,best_value,runtime
0,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 6.0, 'Emit_freq': 300.0, 'Chunk_size': 10000000.0, 'Message_size': 10000.0}",0.05201439827578352,0.03859090805053711
1,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 15.0, 'Emit_freq': 120.0, 'Chunk_size': 2000000.0, 'Message_size': 100000.0}",0.03544138278685924,0.03448486328125
2,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 12.0, 'Emit_freq': 60.0, 'Chunk_size': 100000.0, 'Message_size': 1000.0}",0.04377360647891112,0.03358292579650879
3,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 10000000.0, 'Message_size': 100000.0}",0.05062627829432243,0.0336153507232666
4,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 18.0, 'Emit_freq': 120.0, 'Chunk_size': 100000.0, 'Message_size': 100000.0}",0.045657526184386114,0.033132076263427734
5,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 18.0, 'Emit_freq': 60.0, 'Chunk_size': 2000000.0, 'Message_size': 10000.0}",0.04969705797550803,0.03194737434387207
6,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 12.0, 'Emit_freq': 10.0, 'Chunk_size': 2000000.0, 'Message_size': 1000.0}",0.03005013664366852,0.03145241737365723
7,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 12.0, 'Emit_freq': 1.0, 'Chunk_size': 100000.0, 'Message_size': 10000.0}",0.0622478932273257,0.031148672103881836
8,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 18.0, 'Emit_freq': 60.0, 'Chunk_size': 100000.0, 'Message_size': 1000.0}",0.04318839450376115,0.03223729133605957
9,"{'Spouts': 3.0, 'Max_spout': 10000.0, 'Sorters': 12.0, 'Emit_freq': 10.0, 'Chunk_size': 2000000.0, 'Message_size': 1000.0}",0.03005013664366852,0.031137466430664062
