run_id,best_config,best_value,runtime
0,"{'a': 1.0, 'b': 1.0, 'c': 0.0, 'd': 1.0, 'e': 1.0, 'f': 0.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.17738944131173331,0.02156376838684082
1,"{'a': 1.0, 'b': 1.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 0.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.1582318213046981,0.01921224594116211
2,"{'a': 1.0, 'b': 1.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 0.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.1582318213046981,0.019556283950805664
3,"{'a': 1.0, 'b': 0.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 1.0, 'g': 1.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.16676096178785246,0.019144296646118164
4,"{'a': 1.0, 'b': 0.0, 'c': 0.0, 'd': 0.0, 'e': 1.0, 'f': 1.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.20240757392434794,0.019858837127685547
5,"{'a': 1.0, 'b': 0.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 0.0, 'g': 1.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.1555915413953374,0.019713401794433594
6,"{'a': 1.0, 'b': 1.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 0.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.1582318213046981,0.01974940299987793
7,"{'a': 1.0, 'b': 1.0, 'c': 0.0, 'd': 1.0, 'e': 0.0, 'f': 0.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.1582318213046981,0.018970251083374023
8,"{'a': 1.0, 'b': 0.0, 'c': 0.0, 'd': 1.0, 'e': 1.0, 'f': 1.0, 'g': 0.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.20598281720592673,0.0198056697845459
9,"{'a': 1.0, 'b': 0.0, 'c': 0.0, 'd': 0.0, 'e': 0.0, 'f': 0.0, 'g': 1.0, 'h': 1.0, 'i': 0.0, 'j': 0.0, 'k': 0.0}",0.182638120751835,0.01903820037841797
