run_id,best_config,best_value,runtime
0,"{'ee_instrument': 0.0, 'simplifycfg': 0.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 0.0, 'instcombine': 1.0, 'inline': 1.0, 'mergereturn': 0.0, 'jump_threading': 0.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 1.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 1.0, 'adce': 0.0}",0.2452957838861835,0.05605769157409668
1,"{'ee_instrument': 0.0, 'simplifycfg': 0.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 1.0, 'instcombine': 0.0, 'inline': 0.0, 'mergereturn': 0.0, 'jump_threading': 1.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 1.0, 'licm': 1.0, 'sink': 1.0, 'gvn': 1.0, 'sccp': 1.0, 'adce': 0.0}",0.1891188920027387,0.053900957107543945
2,"{'ee_instrument': 0.0, 'simplifycfg': 1.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 0.0, 'instcombine': 1.0, 'inline': 1.0, 'mergereturn': 0.0, 'jump_threading': 0.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 0.0, 'sink': 0.0, 'gvn': 1.0, 'sccp': 0.0, 'adce': 1.0}",0.29219169323083527,0.05580854415893555
3,"{'ee_instrument': 0.0, 'simplifycfg': 0.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 1.0, 'instcombine': 0.0, 'inline': 0.0, 'mergereturn': 0.0, 'jump_threading': 1.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 1.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 0.0, 'adce': 0.0}",0.2914578011635339,0.0540003776550293
4,"{'ee_instrument': 0.0, 'simplifycfg': 1.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 0.0, 'instcombine': 0.0, 'inline': 1.0, 'mergereturn': 0.0, 'jump_threading': 1.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 1.0, 'sink': 1.0, 'gvn': 1.0, 'sccp': 1.0, 'adce': 0.0}",0.2560740247277181,0.05423283576965332
5,"{'ee_instrument': 0.0, 'simplifycfg': 0.0, 'ipsccp': 1.0, 'called_value_propagation': 0.0, 'basicaa': 1.0, 'instcombine': 1.0, 'inline': 1.0, 'mergereturn': 1.0, 'jump_threading': 0.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 0.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 0.0, 'adce': 0.0}",0.22148467103546673,0.2156057357788086
6,"{'ee_instrument': 1.0, 'simplifycfg': 1.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 0.0, 'instcombine': 0.0, 'inline': 1.0, 'mergereturn': 1.0, 'jump_threading': 0.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 1.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 0.0, 'adce': 0.0}",0.21785604531580688,0.0541994571685791
7,"{'ee_instrument': 1.0, 'simplifycfg': 0.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 0.0, 'instcombine': 0.0, 'inline': 0.0, 'mergereturn': 0.0, 'jump_threading': 1.0, 'pgo_memop_opt': 1.0, 'tailcallelim': 0.0, 'licm': 1.0, 'sink': 0.0, 'gvn': 1.0, 'sccp': 0.0, 'adce': 0.0}",0.2137002563268788,0.05316305160522461
8,"{'ee_instrument': 0.0, 'simplifycfg': 0.0, 'ipsccp': 0.0, 'called_value_propagation': 1.0, 'basicaa': 0.0, 'instcombine': 0.0, 'inline': 0.0, 'mergereturn': 1.0, 'jump_threading': 1.0, 'pgo_memop_opt': 0.0, 'tailcallelim': 0.0, 'licm': 0.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 1.0, 'adce': 0.0}",0.27794229709965446,0.05170941352844238
9,"{'ee_instrument': 0.0, 'simplifycfg': 1.0, 'ipsccp': 0.0, 'called_value_propagation': 0.0, 'basicaa': 1.0, 'instcombine': 1.0, 'inline': 1.0, 'mergereturn': 0.0, 'jump_threading': 0.0, 'pgo_memop_opt': 1.0, 'tailcallelim': 0.0, 'licm': 0.0, 'sink': 0.0, 'gvn': 0.0, 'sccp': 0.0, 'adce': 0.0}",0.29781537081549053,0.053049564361572266
