run_id,best_config,best_value,runtime
0,"{'Numobs': 377.0, 'Length': 178.3, 'Size': 133.8, 'Bcovfaulty': '0.833214', 'Bcovfixed': '0.831035', 'Lcovfaulty': '0.926692', 'Lcovfixed': '0.925421', 'Numremoved': 0.0, 'Fixedcov': '0.832096'}",0.0,0.1091001033782959
1,"{'Numobs': 528.3, 'Length': 1145.2, 'Size': 197.7, 'Bcovfaulty': '0.757465', 'Bcovfixed': '0.751374', 'Lcovfaulty': '0.664183', 'Lcovfixed': '0.665915', 'Numremoved': 37.4, 'Fixedcov': '0.823842'}",0.0,0.10427403450012207
2,"{'Numobs': 563.0, 'Length': 39.5, 'Size': 28.8, 'Bcovfaulty': '0.891739', 'Bcovfixed': '0.88803', 'Lcovfaulty': '0.940471', 'Lcovfixed': '0.93753', 'Numremoved': 0.0, 'Fixedcov': '0.964831'}",0.0,0.09380960464477539
3,"{'Numobs': 243.9, 'Length': 292.5, 'Size': 84.2, 'Bcovfaulty': '0.87', 'Bcovfixed': '0.90', 'Lcovfaulty': '0.96', 'Lcovfixed': '0.97', 'Numremoved': 10.8, 'Fixedcov': '0.956365'}",0.0,0.09963631629943848
4,"{'Numobs': 63.0, 'Length': 57.8, 'Size': 9.3, 'Bcovfaulty': '0.706557', 'Bcovfixed': '0.766667', 'Lcovfaulty': '0.895918', 'Lcovfixed': '0.927174', 'Numremoved': 2.2, 'Fixedcov': '0.920635'}",0.0,0.09272933006286621
5,"{'Numobs': 55.0, 'Length': 50.1, 'Size': 19.4, 'Bcovfaulty': '0.963855', 'Bcovfixed': '0.955357', 'Lcovfaulty': '0.947003', 'Lcovfixed': '0.94299', 'Numremoved': 0.0, 'Fixedcov': '0.963636'}",0.0,0.09751605987548828
6,"{'Numobs': 65.0, 'Length': 23.5, 'Size': 13.7, 'Bcovfaulty': '0.859686', 'Bcovfixed': '0.851538', 'Lcovfaulty': '0.796273', 'Lcovfixed': '0.788182', 'Numremoved': 0.0, 'Fixedcov': '0.863077'}",0.0,0.09604668617248535
7,"{'Numobs': 1179.0, 'Length': 974.7, 'Size': 116.2, 'Bcovfaulty': '0.252494', 'Bcovfixed': '0.250552', 'Lcovfaulty': '0.327008', 'Lcovfixed': '0.325076', 'Numremoved': 0.2, 'Fixedcov': '0.193723'}",0.0,0.09607720375061035
8,"{'Numobs': 270.6, 'Length': 361.1, 'Size': 91.9, 'Bcovfaulty': '0.875', 'Bcovfixed': '0.872255', 'Lcovfaulty': '0.898233', 'Lcovfixed': '0.896491', 'Numremoved': 2.5, 'Fixedcov': '0.921385'}",0.0,0.10109257698059082
9,"{'Numobs': 500.0, 'Length': 197.0, 'Size': 48.2, 'Bcovfaulty': '0.718577', 'Bcovfixed': '0.717857', 'Lcovfaulty': '0.837574', 'Lcovfixed': '0.836749', 'Numremoved': 0.2, 'Fixedcov': '0.9426'}",0.0,0.09423089027404785
