run_id,best_config,best_value,runtime
0,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.16146469116210938
1,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.14675092697143555
2,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15273141860961914
3,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15355277061462402
4,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.1515505313873291
5,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15132904052734375
6,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.1516730785369873
7,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15248417854309082
8,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15385866165161133
9,"{'TeamName': 0.0, 'PlayerName': 369.0, 'Position': 0.0, 'Games': 6.0, 'Win rate': 0.333, 'KDA': 3.1, 'Avg kills': 2.0, 'Avg deaths': 3.2, 'Avg assists': 7.8, 'CSPerMin': 6.5, 'GoldPerMin': 343.0, 'DamagePercent': 0.192, 'DPM': 412.0, 'VSPM': 1.66, 'Avg WPM': 0.33, 'Avg WCPM': 0.47, 'Avg VWPM': 0.15, 'GD_at_15': -208.0, 'CSD_at_15': 2.0, 'XPD_at_15': -18.0, 'FBpercent': 0.5, 'FB Victim': 0.0, 'Penta Kills': 0.0, 'Solo Kills': 1.0, 'Country': 0.0, 'FlashKeybind': 0.0}",0.0,0.15358805656433105
