run_id,best_config,best_value,runtime
0,"{'Culture': 0.2273677643714317, 'Criticality': 0.2581822280995127, 'Criticality Modifier': 0.618628517218043, 'Initial Known': 0.6576761704274833, 'Inter-Dependency': 0.1628664851505378, 'Dynamism': 0.1551522116450965, 'Size': 0.2433362596285085, 'Plan': 0.8479076543857293, 'Team Size': 0.6136459527223089}",0.07241695646261366,0.0985405445098877
1,"{'Culture': 0.0380469080610802, 'Criticality': 0.3202703341025639, 'Criticality Modifier': 0.5294113973446974, 'Initial Known': 0.8207040424227974, 'Inter-Dependency': 0.132275229185059, 'Dynamism': 0.8241643234669908, 'Size': 0.7798923677594554, 'Plan': 0.9446747096862266, 'Team Size': 0.3440682816231117}",0.1458595065221108,0.09053373336791992
2,"{'Culture': 0.0470177851725133, 'Criticality': 0.0713923300197713, 'Criticality Modifier': 0.6796748854789753, 'Initial Known': 0.6365996006631516, 'Inter-Dependency': 0.5793730753625059, 'Dynamism': 0.0486705183156075, 'Size': 0.2104885520294452, 'Plan': 0.6618538091075811, 'Team Size': 0.1555262871065392}",0.13359390560761983,0.09279751777648926
3,"{'Culture': 0.0376490648084346, 'Criticality': 0.3915611487843818, 'Criticality Modifier': 0.5119070419448368, 'Initial Known': 0.6966515907571708, 'Inter-Dependency': 0.4684644266404966, 'Dynamism': 0.2110368232234966, 'Size': 0.1924905034940752, 'Plan': 0.5416604275156347, 'Team Size': 0.7373857501751455}",0.06639968500651769,0.0906684398651123
4,"{'Culture': 0.376939478726274, 'Criticality': 0.3121299379299448, 'Criticality Modifier': 0.0772659384954309, 'Initial Known': 0.7269070727134146, 'Inter-Dependency': 0.0964298775571236, 'Dynamism': 0.1641086027061716, 'Size': 0.4150248744958075, 'Plan': 0.0697071664262367, 'Team Size': 0.804007352232551}",0.08186229830711517,0.0906364917755127
5,"{'Culture': 0.3847383651661064, 'Criticality': 0.5646275182521309, 'Criticality Modifier': 0.7939961900492635, 'Initial Known': 0.8243005286807371, 'Inter-Dependency': 0.6084097390765465, 'Dynamism': 0.0274726488134933, 'Size': 0.1005295778567272, 'Plan': 0.8514097354480007, 'Team Size': 0.1742210670908477}",0.11307051043983994,0.09068846702575684
6,"{'Culture': 0.1617191923171305, 'Criticality': 0.1473474226668354, 'Criticality Modifier': 0.6558999537444747, 'Initial Known': 0.954047058526634, 'Inter-Dependency': 0.0340338284079709, 'Dynamism': 0.332472127741274, 'Size': 0.9763061796026908, 'Plan': 0.1964444386485888, 'Team Size': 0.4526421003457772}",0.08561051769717273,0.09009456634521484
7,"{'Culture': 0.0699703721715234, 'Criticality': 0.0706502767607458, 'Criticality Modifier': 0.7019033188530389, 'Initial Known': 0.7948604014527999, 'Inter-Dependency': 0.3998187162622493, 'Dynamism': 0.1971241261006704, 'Size': 0.4001024232279302, 'Plan': 6.0680553550351846e-05, 'Team Size': 0.0774222648604153}",0.05255443088268979,0.08988046646118164
8,"{'Culture': 0.1156244645228972, 'Criticality': 0.2982634026899783, 'Criticality Modifier': 0.075507611127035, 'Initial Known': 0.5281113510830536, 'Inter-Dependency': 0.4734783924920586, 'Dynamism': 0.1568599026248763, 'Size': 0.4855979577421764, 'Plan': 0.4781704114469826, 'Team Size': 0.1276033061273336}",0.04677853078829374,0.0891561508178711
9,"{'Culture': 0.4978117992417392, 'Criticality': 0.3278981059127668, 'Criticality Modifier': 0.0330988331628916, 'Initial Known': 0.4220452182393698, 'Inter-Dependency': 0.1577196911159641, 'Dynamism': 0.0859944230717257, 'Size': 0.2699549178571496, 'Plan': 0.4646794682120507, 'Team Size': 0.6296522182494466}",0.10217628458212032,0.09101223945617676
