run_id,best_config,best_value,runtime
0,"{'Culture': 0.129362642765196, 'Criticality': 0.4369721013070042, 'Criticality Modifier': 0.5532133037427911, 'Initial Known': 0.2689717159510635, 'Inter-Dependency': 0.4802393308935889, 'Dynamism': 0.512512089174494, 'Size': 0.3463624005201902, 'Plan': 0.2446661356695291, 'Team Size': 0.0355748059297953}",0.2334625186584031,0.2435600757598877
1,"{'Culture': 0.1087175828914877, 'Criticality': 0.6164495552240947, 'Criticality Modifier': 0.1644987555221442, 'Initial Known': 0.7893735997280793, 'Inter-Dependency': 0.5854189675931455, 'Dynamism': 0.0080635149119457, 'Size': 0.511266508629683, 'Plan': 0.888355348580236, 'Team Size': 0.7403324492732061}",0.22327990213416457,0.2334613800048828
2,"{'Culture': 0.0554808789038635, 'Criticality': 0.2826623047676464, 'Criticality Modifier': 0.0963232958283734, 'Initial Known': 0.7467093531117821, 'Inter-Dependency': 0.9130883992234086, 'Dynamism': 0.0869831257225853, 'Size': 0.0375048712283283, 'Plan': 0.7614894631729421, 'Team Size': 0.8342422533116761}",0.19300171670237118,0.2350480556488037
3,"{'Culture': 0.2449457564442455, 'Criticality': 0.2931133907337104, 'Criticality Modifier': 0.0826731525820413, 'Initial Known': 0.5055672154902093, 'Inter-Dependency': 0.2140900742713467, 'Dynamism': 0.1108789139074395, 'Size': 0.3227872892181812, 'Plan': 0.4946635061529756, 'Team Size': 0.5167949130850472}",0.24292532944128065,0.2386641502380371
4,"{'Culture': 0.1062833774318857, 'Criticality': 0.9779655844684996, 'Criticality Modifier': 0.1866685751052879, 'Initial Known': 0.8932953489941206, 'Inter-Dependency': 0.3539197614450674, 'Dynamism': 0.4559686780626091, 'Size': 0.3785790035336224, 'Plan': 0.9870612943500288, 'Team Size': 0.1141722275034231}",0.22215756073522275,0.23821091651916504
5,"{'Culture': 0.6448327285790001, 'Criticality': 0.1337292927513328, 'Criticality Modifier': 0.4577986763974944, 'Initial Known': 0.810087004502041, 'Inter-Dependency': 0.3296526717827102, 'Dynamism': 0.3015903113357703, 'Size': 0.487245388055866, 'Plan': 0.3834773786495871, 'Team Size': 0.0226946506113324}",0.27239670112664205,0.23138999938964844
6,"{'Culture': 0.1361590888352633, 'Criticality': 0.678450330952744, 'Criticality Modifier': 0.3615004119331286, 'Initial Known': 0.365555599462819, 'Inter-Dependency': 0.405694171622864, 'Dynamism': 0.0789450869157886, 'Size': 0.0797828938146616, 'Plan': 0.5968256572980701, 'Team Size': 0.1847952611493449}",0.19808968981473168,0.2333357334136963
7,"{'Culture': 0.1798298512149229, 'Criticality': 0.0921800864966397, 'Criticality Modifier': 0.0238800369919109, 'Initial Known': 0.8480240231522258, 'Inter-Dependency': 0.9017196026431468, 'Dynamism': 0.1411415888256386, 'Size': 0.4074335756523689, 'Plan': 0.1769721993687142, 'Team Size': 0.5404650235405473}",0.12689053510553777,0.23046374320983887
8,"{'Culture': 0.4760498614602748, 'Criticality': 0.5463523552617352, 'Criticality Modifier': 0.1325632687543306, 'Initial Known': 0.7903021339507851, 'Inter-Dependency': 0.8966196883775378, 'Dynamism': 0.3117677501226019, 'Size': 0.6759600790647867, 'Plan': 0.6597948965279521, 'Team Size': 0.7007191362567587}",0.2334047891068239,0.2355327606201172
9,"{'Culture': 0.2449457564442455, 'Criticality': 0.2931133907337104, 'Criticality Modifier': 0.0826731525820413, 'Initial Known': 0.5055672154902093, 'Inter-Dependency': 0.2140900742713467, 'Dynamism': 0.1108789139074395, 'Size': 0.3227872892181812, 'Plan': 0.4946635061529756, 'Team Size': 0.5167949130850472}",0.24292532944128065,0.2387068271636963
