run_id,best_config,best_value,runtime
0,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.03577780723571777
1,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.038536787033081055
2,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.0359957218170166
3,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.03336215019226074
4,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.03337669372558594
5,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.03759336471557617
6,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.03646969795227051
7,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.03168916702270508
8,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 12.0}",0.0008018260942662669,0.03487706184387207
9,"{'Max_spout': 1.0, 'Spliters': 1.0, 'Counters': 18.0}",0.0,0.029796123504638672
