run_id,best_config,best_value,runtime
0,"{'no_mbtree': 1.0, 'no_asm': 0.0, 'no_cabac': 0.0, 'no_scenecut': 0.0, 'Aq_strength': 1.2, 'Bframes': 17.0, 'Qcomp': 0.0, 'Qp': 24.0, 'Ref': 2.0, 'Rc_lookahead': 85.0, 'B_bias': -67.0, 'Threads': 105.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 49.0, 'Seek': 0.0, 'Ipratio': 0.3}",0.06704475198554238,0.2937495708465576
1,"{'no_mbtree': 1.0, 'no_asm': 1.0, 'no_cabac': 1.0, 'no_scenecut': 1.0, 'Aq_strength': 0.5, 'Bframes': 13.0, 'Qcomp': 0.0, 'Qp': 0.0, 'Ref': 4.0, 'Rc_lookahead': 125.0, 'B_bias': 0.0, 'Threads': 32.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.06797213106957722,0.27478790283203125
2,"{'no_mbtree': 1.0, 'no_asm': 1.0, 'no_cabac': 1.0, 'no_scenecut': 0.0, 'Aq_strength': 0.5, 'Bframes': 13.0, 'Qcomp': 0.0, 'Qp': 0.0, 'Ref': 4.0, 'Rc_lookahead': 125.0, 'B_bias': 0.0, 'Threads': 32.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.06797213106957722,0.27477192878723145
3,"{'no_mbtree': 0.0, 'no_asm': 1.0, 'no_cabac': 0.0, 'no_scenecut': 1.0, 'Aq_strength': 2.0, 'Bframes': 7.0, 'Qcomp': 0.6, 'Qp': 13.0, 'Ref': 9.0, 'Rc_lookahead': 187.0, 'B_bias': 100.0, 'Threads': 64.0, 'Keyint': 501.0, 'Crf': 50.0, 'Scenecut': 100.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.12306796024159417,0.28119373321533203
4,"{'no_mbtree': 0.0, 'no_asm': 1.0, 'no_cabac': 0.0, 'no_scenecut': 1.0, 'Aq_strength': 2.0, 'Bframes': 19.0, 'Qcomp': 0.0, 'Qp': 13.0, 'Ref': 9.0, 'Rc_lookahead': 63.0, 'B_bias': -50.0, 'Threads': 32.0, 'Keyint': 751.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.5}",0.10239216245779237,0.40990185737609863
5,"{'no_mbtree': 1.0, 'no_asm': 0.0, 'no_cabac': 1.0, 'no_scenecut': 1.0, 'Aq_strength': 0.5, 'Bframes': 13.0, 'Qcomp': 0.0, 'Qp': 0.0, 'Ref': 4.0, 'Rc_lookahead': 125.0, 'B_bias': 0.0, 'Threads': 32.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.0682099205783041,0.279308557510376
6,"{'no_mbtree': 0.0, 'no_asm': 1.0, 'no_cabac': 1.0, 'no_scenecut': 0.0, 'Aq_strength': 2.0, 'Bframes': 19.0, 'Qcomp': 0.0, 'Qp': 13.0, 'Ref': 9.0, 'Rc_lookahead': 63.0, 'B_bias': -50.0, 'Threads': 32.0, 'Keyint': 751.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.5}",0.10366433632948113,0.28023576736450195
7,"{'no_mbtree': 0.0, 'no_asm': 1.0, 'no_cabac': 1.0, 'no_scenecut': 1.0, 'Aq_strength': 0.5, 'Bframes': 13.0, 'Qcomp': 0.0, 'Qp': 0.0, 'Ref': 4.0, 'Rc_lookahead': 125.0, 'B_bias': 0.0, 'Threads': 32.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.06797213106957722,0.4085674285888672
8,"{'no_mbtree': 0.0, 'no_asm': 1.0, 'no_cabac': 0.0, 'no_scenecut': 1.0, 'Aq_strength': 2.0, 'Bframes': 19.0, 'Qcomp': 0.0, 'Qp': 13.0, 'Ref': 9.0, 'Rc_lookahead': 63.0, 'B_bias': -50.0, 'Threads': 32.0, 'Keyint': 751.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.5}",0.10239216245779237,0.28005170822143555
9,"{'no_mbtree': 1.0, 'no_asm': 1.0, 'no_cabac': 1.0, 'no_scenecut': 0.0, 'Aq_strength': 0.5, 'Bframes': 13.0, 'Qcomp': 0.0, 'Qp': 0.0, 'Ref': 4.0, 'Rc_lookahead': 125.0, 'B_bias': 0.0, 'Threads': 32.0, 'Keyint': 1.0, 'Crf': 50.0, 'Scenecut': 26.0, 'Seek': 0.0, 'Ipratio': 0.0}",0.06797213106957722,0.27590227127075195
