run_id,best_config,best_value,runtime
0,"{'DATA': 2.388, ' ACAP': 3.994, ' AEXP': 3.682, ' CPLx': 3.43, ' DOCU': 3.135, ' ETAT': 2.314, ' FLEx': 1.601, ' KLOC': 12.646, ' LTEx': 1.76, ' PCAP': 3.429, ' PCON': 2.024, ' PLEx': 2.962, ' PMAT': 2.636, ' PREC': 4.076, ' PVOL': 3.881, ' RELY': 3.77, ' RESL': 4.292, ' RUSE': 2.296, ' SCED': 3.0, ' SITE': 2.519, ' STOR': 3.738, ' TEAM': 2.117, ' TIME': 3.653, ' TOOL': 2.0}",0.06344796649000181,0.9254491329193115
1,"{'DATA': 2.773, ' ACAP': 4.736, ' AEXP': 4.854, ' CPLx': 3.2, ' DOCU': 1.601, ' ETAT': 2.296, ' FLEx': 4.007, ' KLOC': 11.837, ' LTEx': 2.648, ' PCAP': 4.241, ' PCON': 2.989, ' PLEx': 1.262, ' PMAT': 2.816, ' PREC': 3.268, ' PVOL': 3.658, ' RELY': 3.133, ' RESL': 3.619, ' RUSE': 5.438, ' SCED': 3.0, ' SITE': 2.507, ' STOR': 3.591, ' TEAM': 3.048, ' TIME': 3.075, ' TOOL': 2.0}",0.034006463632995414,0.9083080291748047
2,"{'DATA': 4.03, ' ACAP': 4.419, ' AEXP': 3.244, ' CPLx': 3.197, ' DOCU': 1.81, ' ETAT': 5.485, ' FLEx': 2.82, ' KLOC': 27.839, ' LTEx': 3.566, ' PCAP': 3.875, ' PCON': 4.543, ' PLEx': 3.913, ' PMAT': 2.537, ' PREC': 3.295, ' PVOL': 2.024, ' RELY': 3.866, ' RESL': 3.846, ' RUSE': 3.646, ' SCED': 3.0, ' SITE': 2.56, ' STOR': 3.52, ' TEAM': 2.671, ' TIME': 3.019, ' TOOL': 2.0}",0.035269204984561785,0.9074640274047852
3,"{'DATA': 4.5, ' ACAP': 4.556, ' AEXP': 4.733, ' CPLx': 3.503, ' DOCU': 1.416, ' ETAT': 2.802, ' FLEx': 2.981, ' KLOC': 39.842, ' LTEx': 2.467, ' PCAP': 4.702, ' PCON': 4.866, ' PLEx': 3.664, ' PMAT': 2.812, ' PREC': 1.44, ' PVOL': 4.333, ' RELY': 3.662, ' RESL': 2.157, ' RUSE': 5.339, ' SCED': 3.0, ' SITE': 4.534, ' STOR': 3.703, ' TEAM': 3.569, ' TIME': 3.172, ' TOOL': 2.0}",0.06470060068584567,0.9075801372528076
4,"{'DATA': 3.276, ' ACAP': 3.463, ' AEXP': 4.841, ' CPLx': 2.107, ' DOCU': 1.323, ' ETAT': 3.021, ' FLEx': 2.123, ' KLOC': 12.53, ' LTEx': 1.164, ' PCAP': 4.276, ' PCON': 3.908, ' PLEx': 3.585, ' PMAT': 2.85, ' PREC': 2.318, ' PVOL': 2.201, ' RELY': 3.068, ' RESL': 3.415, ' RUSE': 4.658, ' SCED': 3.0, ' SITE': 1.497, ' STOR': 3.105, ' TEAM': 2.727, ' TIME': 3.173, ' TOOL': 2.0}",0.03481220807495368,0.9090750217437744
5,"{'DATA': 3.276, ' ACAP': 3.463, ' AEXP': 4.841, ' CPLx': 2.107, ' DOCU': 1.323, ' ETAT': 3.021, ' FLEx': 2.123, ' KLOC': 12.53, ' LTEx': 1.164, ' PCAP': 4.276, ' PCON': 3.908, ' PLEx': 3.585, ' PMAT': 2.85, ' PREC': 2.318, ' PVOL': 2.201, ' RELY': 3.068, ' RESL': 3.415, ' RUSE': 4.658, ' SCED': 3.0, ' SITE': 1.497, ' STOR': 3.105, ' TEAM': 2.727, ' TIME': 3.173, ' TOOL': 2.0}",0.03481220807495368,0.9016108512878418
6,"{'DATA': 2.116, ' ACAP': 4.302, ' AEXP': 4.414, ' CPLx': 2.712, ' DOCU': 1.17, ' ETAT': 2.792, ' FLEx': 2.169, ' KLOC': 17.253, ' LTEx': 2.815, ' PCAP': 4.827, ' PCON': 4.476, ' PLEx': 2.383, ' PMAT': 2.692, ' PREC': 1.82, ' PVOL': 4.349, ' RELY': 3.719, ' RESL': 1.641, ' RUSE': 2.387, ' SCED': 3.0, ' SITE': 5.86, ' STOR': 3.288, ' TEAM': 3.099, ' TIME': 3.418, ' TOOL': 2.0}",0.007483590254524636,0.9056432247161865
7,"{'DATA': 4.105, ' ACAP': 3.253, ' AEXP': 2.873, ' CPLx': 1.239, ' DOCU': 2.85, ' ETAT': 1.704, ' FLEx': 3.431, ' KLOC': 55.273, ' LTEx': 3.66, ' PCAP': 3.054, ' PCON': 2.472, ' PLEx': 3.613, ' PMAT': 2.31, ' PREC': 3.553, ' PVOL': 2.585, ' RELY': 2.451, ' RESL': 4.501, ' RUSE': 2.36, ' SCED': 3.0, ' SITE': 5.185, ' STOR': 3.62, ' TEAM': 3.377, ' TIME': 3.656, ' TOOL': 2.0}",0.05844298602958396,0.9067952632904053
8,"{'DATA': 4.821, ' ACAP': 3.727, ' AEXP': 3.913, ' CPLx': 2.59, ' DOCU': 3.033, ' ETAT': 5.022, ' FLEx': 1.588, ' KLOC': 18.677, ' LTEx': 1.538, ' PCAP': 4.695, ' PCON': 4.254, ' PLEx': 2.942, ' PMAT': 2.171, ' PREC': 1.31, ' PVOL': 2.397, ' RELY': 3.352, ' RESL': 4.267, ' RUSE': 3.553, ' SCED': 3.0, ' SITE': 5.465, ' STOR': 3.341, ' TEAM': 1.982, ' TIME': 3.407, ' TOOL': 2.0}",0.03424677295335757,0.9139704704284668
9,"{'DATA': 2.116, ' ACAP': 4.302, ' AEXP': 4.414, ' CPLx': 2.712, ' DOCU': 1.17, ' ETAT': 2.792, ' FLEx': 2.169, ' KLOC': 17.253, ' LTEx': 2.815, ' PCAP': 4.827, ' PCON': 4.476, ' PLEx': 2.383, ' PMAT': 2.692, ' PREC': 1.82, ' PVOL': 4.349, ' RELY': 3.719, ' RESL': 1.641, ' RUSE': 2.387, ' SCED': 3.0, ' SITE': 5.86, ' STOR': 3.288, ' TEAM': 3.099, ' TIME': 3.418, ' TOOL': 2.0}",0.007483590254524636,0.9116518497467041
