run_id,best_config,best_value,runtime
0,"{'Numobs': 254.0, 'Length': 95.8, 'Size': 88.5, 'Bcovfaulty': '0.779896', 'Bcovfixed': '0.813044', 'Lcovfaulty': '0.927131', 'Lcovfixed': '0.959449', 'Numremoved': 0.3, 'Fixedcov': '0.96063'}",0.0,165.3028175830841
1,"{'Numobs': 722.9, 'Length': 303.7, 'Size': 59.7, 'Bcovfaulty': '0.15721', 'Bcovfixed': '0.15721', 'Lcovfaulty': '0.158754', 'Lcovfixed': '0.159186', 'Numremoved': 0.0, 'Fixedcov': '0.240559'}",0.0,163.19745588302612
2,"{'Numobs': 78.0, 'Length': 90.1, 'Size': 31.2, 'Bcovfaulty': '0.969737', 'Bcovfixed': '0.970512', 'Lcovfaulty': '0.947328', 'Lcovfixed': '0.94812', 'Numremoved': 0.0, 'Fixedcov': '0.970512'}",0.0,163.2431664466858
3,"{'Numobs': 360.0, 'Length': 151.5, 'Size': 107.9, 'Bcovfaulty': '0.797244', 'Bcovfixed': '0.79845', 'Lcovfaulty': '0.94713', 'Lcovfixed': '0.948194', 'Numremoved': 0.0, 'Fixedcov': '0.954167'}",0.0,163.18659949302673
4,"{'Numobs': 2251.0, 'Length': 1605.2, 'Size': 239.3, 'Bcovfaulty': '0.65311', 'Bcovfixed': '0.655175', 'Lcovfaulty': '0.735587', 'Lcovfixed': '0.737754', 'Numremoved': 6.5, 'Fixedcov': '0.751706'}",0.0,162.65684270858765
5,"{'Numobs': 78.8, 'Length': 158.2, 'Size': 25.6, 'Bcovfaulty': '0.982143', 'Bcovfixed': '0.980843', 'Lcovfaulty': '0.997959', 'Lcovfixed': '0.997778', 'Numremoved': 0.3, 'Fixedcov': '0.988623'}",0.0,163.1088569164276
6,"{'Numobs': 1103.6, 'Length': 890.5, 'Size': 94.6, 'Bcovfaulty': '0.968932', 'Bcovfixed': '0.972816', 'Lcovfaulty': '0.958196', 'Lcovfixed': '0.959064', 'Numremoved': 0.4, 'Fixedcov': '0.931146'}",0.0,162.84206581115723
7,"{'Numobs': 1624.7, 'Length': 217.6, 'Size': 47.3, 'Bcovfaulty': '0.65981', 'Bcovfixed': '0.639235', 'Lcovfaulty': '0.628147', 'Lcovfixed': '0.613924', 'Numremoved': 0.4, 'Fixedcov': '0.621402'}",0.0,163.5479292869568
8,"{'Numobs': 107.0, 'Length': 57.6, 'Size': 21.1, 'Bcovfaulty': '0.963855', 'Bcovfixed': '0.955357', 'Lcovfaulty': '0.990536', 'Lcovfixed': '0.985981', 'Numremoved': 0.0, 'Fixedcov': '0.990654'}",0.0,163.0557746887207
9,"{'Numobs': 582.6, 'Length': 391.6, 'Size': 202.3, 'Bcovfaulty': '0.964378', 'Bcovfixed': '0.970716', 'Lcovfaulty': '0.973542', 'Lcovfixed': '0.975417', 'Numremoved': 1.1, 'Fixedcov': '0.979734'}",0.0,163.1533408164978
