run_id,best_config,best_value,runtime
0,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,4.0407021045684814
1,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 6.0, 'Emit_freq': 300.0, 'Chunk_size': 100000.0, 'Message_size': 1000.0}",0.0,4.048643589019775
2,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,3.9131720066070557
3,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,3.925135612487793
4,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,4.038874387741089
5,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 6.0, 'Emit_freq': 300.0, 'Chunk_size': 100000.0, 'Message_size': 1000.0}",0.0,4.005642414093018
6,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 6.0, 'Emit_freq': 300.0, 'Chunk_size': 100000.0, 'Message_size': 1000.0}",0.0,3.9036357402801514
7,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,3.899813652038574
8,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,3.9422097206115723
9,"{'Spouts': 1.0, 'Max_spout': 10.0, 'Sorters': 3.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",0.0,3.9727444648742676
