run_id,best_config,best_value,runtime
0,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 1024.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.521620035171509
1,"{'Topology.workers': 4.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 4.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1000.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 512.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 29.0}",0.0,3.456329584121704
2,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 0.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 512.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.3884336948394775
3,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 0.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 512.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.4424774646759033
4,"{'Topology.workers': 4.0, 'Component.bolt_num': 1.0, 'Topology.acker.executors': 4.0, 'Message.size': 1000000.0, 'Component.spout_num': 10.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 10.0, 'Topology.transfer.buffer.size': 1024.0, 'Storm.messaging.netty.max_wait_ms': 100.0, 'topology.level': 5.0, 'topology.priority': 29.0}",0.0,3.4190704822540283
5,"{'Topology.workers': 4.0, 'Component.bolt_num': 1.0, 'Topology.acker.executors': 4.0, 'Message.size': 1000000.0, 'Component.spout_num': 10.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 10.0, 'Topology.transfer.buffer.size': 1024.0, 'Storm.messaging.netty.max_wait_ms': 100.0, 'topology.level': 5.0, 'topology.priority': 29.0}",0.0,3.5728611946105957
6,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 0.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 512.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.3707516193389893
7,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 0.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 512.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.3790767192840576
8,"{'Topology.workers': 2.0, 'Component.bolt_num': 1.0, 'Topology.acker.executors': 4.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 10.0, 'Topology.transfer.buffer.size': 1024.0, 'Storm.messaging.netty.max_wait_ms': 100.0, 'topology.level': 5.0, 'topology.priority': 29.0}",0.0,3.4754765033721924
9,"{'Topology.workers': 2.0, 'Component.bolt_num': 10.0, 'Topology.acker.executors': 2.0, 'Message.size': 1000000.0, 'Component.spout_num': 1.0, 'topology.serialized.message.size.metrics': 1.0, 'Topology.max.spout.pending': 1.0, 'Storm.messaging.netty.min_wait_ms': 1000.0, 'Topology.transfer.buffer.size': 1024.0, 'Storm.messaging.netty.max_wait_ms': 10000.0, 'topology.level': 5.0, 'topology.priority': 0.0}",0.0,3.3660833835601807
