run_id,best_config,best_value,runtime
0,"{'school': 'GP', 'gender': 'M', 'AGE': 17.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 2.0, 'mother_job': 'services', 'father_job': 'services', 'reason_for_choosing_school': 'course', 'guardian': 'mother', 'TRAVEL_TIME': 2.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'yes', 'extra_paid_class': 'no', 'extra_curricular_activities': 'yes', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'no', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 5.0, 'GOING_OUT': 2.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 1.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 1.0, 'HEALTH_STATUS': 2.0, 'NUMBER_OF_ABSENCES': 10.0, 'GRADE_1': 8.0, 'GRADE_2': 7.0, 'FINAL_GRADE': 8.0}",0.0,9.919478178024292
1,"{'school': 'GP', 'gender': 'M', 'AGE': 22.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 1.0, 'mother_job': 'services', 'father_job': 'services', 'reason_for_choosing_school': 'other', 'guardian': 'mother', 'TRAVEL_TIME': 1.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'no', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'yes', 'FAMILY_RELATIONSHIP': 5.0, 'FREE_TIME': 4.0, 'GOING_OUT': 5.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 5.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 5.0, 'HEALTH_STATUS': 1.0, 'NUMBER_OF_ABSENCES': 12.0, 'GRADE_1': 7.0, 'GRADE_2': 8.0, 'FINAL_GRADE': 5.0}",0.0,10.562544345855713
2,"{'school': 'MS', 'gender': 'M', 'AGE': 19.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 2.0, 'FATHER_EDUCATION': 1.0, 'mother_job': 'at_home', 'father_job': 'other', 'reason_for_choosing_school': 'course', 'guardian': 'other', 'TRAVEL_TIME': 2.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'yes', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'yes', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 4.0, 'GOING_OUT': 3.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 1.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 3.0, 'HEALTH_STATUS': 5.0, 'NUMBER_OF_ABSENCES': 4.0, 'GRADE_1': 8.0, 'GRADE_2': 9.0, 'FINAL_GRADE': 9.0}",0.0,10.563368797302246
3,"{'school': 'GP', 'gender': 'M', 'AGE': 17.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 2.0, 'mother_job': 'services', 'father_job': 'services', 'reason_for_choosing_school': 'course', 'guardian': 'mother', 'TRAVEL_TIME': 2.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'yes', 'extra_paid_class': 'no', 'extra_curricular_activities': 'yes', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'no', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 5.0, 'GOING_OUT': 2.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 1.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 1.0, 'HEALTH_STATUS': 2.0, 'NUMBER_OF_ABSENCES': 10.0, 'GRADE_1': 8.0, 'GRADE_2': 7.0, 'FINAL_GRADE': 8.0}",0.0,10.53336215019226
4,"{'school': 'GP', 'gender': 'M', 'AGE': 17.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 2.0, 'mother_job': 'services', 'father_job': 'services', 'reason_for_choosing_school': 'course', 'guardian': 'mother', 'TRAVEL_TIME': 2.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'yes', 'extra_paid_class': 'no', 'extra_curricular_activities': 'yes', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'no', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 5.0, 'GOING_OUT': 2.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 1.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 1.0, 'HEALTH_STATUS': 2.0, 'NUMBER_OF_ABSENCES': 10.0, 'GRADE_1': 8.0, 'GRADE_2': 7.0, 'FINAL_GRADE': 8.0}",0.0,9.92055892944336
5,"{'school': 'GP', 'gender': 'F', 'AGE': 17.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 4.0, 'mother_job': 'at_home', 'father_job': 'services', 'reason_for_choosing_school': 'home', 'guardian': 'mother', 'TRAVEL_TIME': 1.0, 'STUDY_TIME': 3.0, 'NUMBER_OF_FAILURES': 1.0, 'school_support': 'no', 'family_support': 'yes', 'extra_paid_class': 'yes', 'extra_curricular_activities': 'no', 'attended_nursery': 'yes', 'wants_higher_education': 'yes', 'internet_access': 'yes', 'in_relationship': 'yes', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 4.0, 'GOING_OUT': 3.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 3.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 4.0, 'HEALTH_STATUS': 5.0, 'NUMBER_OF_ABSENCES': 14.0, 'GRADE_1': 8.0, 'GRADE_2': 9.0, 'FINAL_GRADE': 8.0}",0.0,9.697646617889404
6,"{'school': 'GP', 'gender': 'M', 'AGE': 17.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 2.0, 'FATHER_EDUCATION': 2.0, 'mother_job': 'other', 'father_job': 'other', 'reason_for_choosing_school': 'home', 'guardian': 'father', 'TRAVEL_TIME': 2.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 0.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'no', 'attended_nursery': 'yes', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 4.0, 'FREE_TIME': 4.0, 'GOING_OUT': 4.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 2.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 3.0, 'HEALTH_STATUS': 4.0, 'NUMBER_OF_ABSENCES': 8.0, 'GRADE_1': 8.0, 'GRADE_2': 8.0, 'FINAL_GRADE': 9.0}",0.0,9.950974941253662
7,"{'school': 'GP', 'gender': 'M', 'AGE': 22.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 3.0, 'FATHER_EDUCATION': 1.0, 'mother_job': 'services', 'father_job': 'services', 'reason_for_choosing_school': 'other', 'guardian': 'mother', 'TRAVEL_TIME': 1.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 3.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'no', 'attended_nursery': 'no', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'yes', 'FAMILY_RELATIONSHIP': 5.0, 'FREE_TIME': 4.0, 'GOING_OUT': 5.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 5.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 5.0, 'HEALTH_STATUS': 1.0, 'NUMBER_OF_ABSENCES': 12.0, 'GRADE_1': 7.0, 'GRADE_2': 8.0, 'FINAL_GRADE': 5.0}",0.0,10.261889696121216
8,"{'school': 'GP', 'gender': 'M', 'AGE': 16.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 1.0, 'FATHER_EDUCATION': 3.0, 'mother_job': 'at_home', 'father_job': 'services', 'reason_for_choosing_school': 'course', 'guardian': 'father', 'TRAVEL_TIME': 1.0, 'STUDY_TIME': 1.0, 'NUMBER_OF_FAILURES': 1.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'no', 'attended_nursery': 'yes', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 5.0, 'FREE_TIME': 3.0, 'GOING_OUT': 3.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 1.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 4.0, 'HEALTH_STATUS': 2.0, 'NUMBER_OF_ABSENCES': 2.0, 'GRADE_1': 9.0, 'GRADE_2': 8.0, 'FINAL_GRADE': 8.0}",0.0,10.420980453491211
9,"{'school': 'GP', 'gender': 'M', 'AGE': 18.0, 'address': 'U', 'family_size': 'GT3', 'parental_status': 'T', 'MOTHER_EDUCATION': 2.0, 'FATHER_EDUCATION': 2.0, 'mother_job': 'other', 'father_job': 'services', 'reason_for_choosing_school': 'reputation', 'guardian': 'father', 'TRAVEL_TIME': 1.0, 'STUDY_TIME': 2.0, 'NUMBER_OF_FAILURES': 0.0, 'school_support': 'no', 'family_support': 'no', 'extra_paid_class': 'no', 'extra_curricular_activities': 'no', 'attended_nursery': 'yes', 'wants_higher_education': 'no', 'internet_access': 'yes', 'in_relationship': 'no', 'FAMILY_RELATIONSHIP': 5.0, 'FREE_TIME': 5.0, 'GOING_OUT': 4.0, 'WEEKEND_ALCOHOL_CONSUMPTION': 3.0, 'WEEKDAY_ALCOHOL_CONSUMPTION': 5.0, 'HEALTH_STATUS': 2.0, 'NUMBER_OF_ABSENCES': 16.0, 'GRADE_1': 8.0, 'GRADE_2': 7.0, 'FINAL_GRADE': 8.0}",0.0,10.75848126411438
